operon_seral_number	operon_start_site	operon_end_site	operon_direction	AS_transcript_start	AS_transcript_end	AS_transcript_direction	number_of_cluster_tss_of_AS	AS_3end_information	AS_length
operon_153	279572	287110	-	281533	282010	+	1	end_in_gene	478
operon_153	279572	287110	-	284119	284486	+	1	end_in_gene	368
operon_153	279572	287110	-	285210	285593	+	2	end_in_gene	384
operon_157	289792	292086	-	289114	289469	+	1	end_in_gene	356
operon_159	293714	295714	-	293604	293962	+	1	end_in_gene	359
operon_159	293714	295714	-	294287	294664	+	1	end_in_gene	378
operon_159	293714	295714	-	295688	295714	+	1	end_coding_next_gene	27
operon_161	298129	301683	-	297374	297868	+	3	end_in_gene	495
operon_160	295965	298106	+	297597	297825	-	1	end_in_gene	229
operon_161	298129	301683	-	298918	299214	+	1	end_in_gene	297
operon_161	298129	301683	-	299961	300237	+	1	end_in_gene	277
operon_163	302079	302710	-	302078	302421	+	2	end_in_gene	344
operon_165	305819	306349	-	302866	303262	+	1	end_in_gene	397
operon_166	306359	309841	-	307974	308283	+	1	end_in_gene	310
operon_166	306359	309841	-	308769	309308	+	2	end_in_gene	540
operon_167	308923	310284	+	309422	309841	-	1	end_in_gene	420
operon_166	306359	309841	-	309443	309730	+	1	end_in_gene	288
operon_167	308923	310284	+	309844	310266	-	1	end_in_gene	423
operon_168	310083	310751	-	309855	310253	+	1	end_in_gene	399
operon_169	310761	314856	-	311317	311710	+	1	end_in_gene	394
operon_172	317515	321352	-	320338	320623	+	1	end_in_gene	286
operon_173	321331	322754	+	321331	321352	-	1	end_coding_next_gene	22
operon_174	322732	323281	-	322891	323704	+	2	end_as_asRNA_for_next_operon	814
operon_175	323291	324525	-	323316	323656	+	1	end_in_gene	341
operon_177	326259	328501	-	324567	325101	+	1	end_in_gene	535
operon_176	324567	326256	+	324798	325232	-	1	end_in_gene	435
operon_177	326259	328501	-	325775	326289	+	1	end_in_gene	515
operon_178	328511	329719	-	329103	329420	+	1	end_in_gene	318
operon_183	332678	333414	-	332721	333438	+	1	end_as_asRNA_for_next_operon	718
operon_184	333424	338183	-	337235	337389	+	1	end_in_gene	155
operon_186	339322	340988	+	339657	340043	-	1	end_in_gene	387
operon_187	340998	341969	+	341585	341956	-	1	end_in_gene	372
operon_188	341979	356852	+	341954	342076	-	2	end_as_asRNA_for_next_operon	123
operon_189	356885	358076	-	345432	345834	+	1	end_in_gene	403
operon_188	341979	356852	+	345591	345941	-	1	end_in_gene	351
operon_189	356885	358076	-	348187	348598	+	1	end_in_gene	412
operon_189	356885	358076	-	349556	350405	+	1	end_in_gene	850
operon_189	356885	358076	-	350616	350748	+	1	end_in_gene	133
operon_189	356885	358076	-	356317	356491	+	1	end_in_gene	175
operon_189	356885	358076	-	357606	357940	+	1	end_in_gene	335
operon_190	358171	358935	+	358171	358294	-	1	end_coding_next_gene	124
operon_190	358171	358935	+	358537	358875	-	1	end_in_gene	339
operon_191	358966	359748	-	358627	358868	+	1	end_in_gene	242
operon_192	359758	361200	-	360200	360507	+	1	end_in_gene	308
operon_192	359758	361200	-	360518	360570	+	1	end_in_gene	53
operon_194	363252	364513	+	363529	363785	-	1	end_in_gene	257
operon_194	363252	364513	+	364110	364370	-	1	end_in_gene	261
operon_196	366152	373788	-	365932	366291	+	1	end_in_gene	360
operon_196	366152	373788	-	367713	368149	+	1	end_in_gene	437
operon_196	366152	373788	-	369723	369945	+	1	end_in_gene	223
operon_196	366152	373788	-	370275	370671	+	2	end_in_gene	397
operon_196	366152	373788	-	371223	371942	+	1	end_in_gene	720
operon_196	366152	373788	-	372897	373392	+	2	end_in_gene	496
operon_197	373798	375749	-	374344	374687	+	1	end_in_gene	344
operon_202	378597	379130	-	377931	378433	+	1	end_in_gene	503
operon_208	385159	385967	-	383608	384239	+	1	end_in_gene	632
operon_207	383608	385163	+	384528	384870	-	1	end_in_gene	343
operon_210	386292	387073	-	386304	386599	+	1	end_in_gene	296
operon_214	390601	391363	-	388582	389138	+	1	end_in_gene	557
operon_214	390601	391363	-	390340	390744	+	1	end_in_gene	405
operon_215	391312	392686	+	391312	391363	-	2	end_coding_next_gene	52
operon_216	392738	394045	-	392070	392356	+	1	end_in_gene	287
operon_216	392738	394045	-	393431	394000	+	2	end_in_gene	570
operon_218	394723	396087	-	394111	394745	+	1	end_in_gene	635
operon_218	394723	396087	-	395305	395731	+	1	end_in_gene	427
operon_222	399534	400050	-	398254	398788	+	1	end_in_gene	535
operon_222	399534	400050	-	399550	400013	+	1	end_in_gene	464
operon_224	401713	403136	-	400695	401041	+	1	end_in_gene	347
operon_223	400168	401863	+	400956	401305	-	1	end_in_gene	350
operon_225	403146	405887	-	403787	404132	+	1	end_in_gene	346
operon_225	403146	405887	-	405467	405660	+	1	end_in_gene	194
operon_226	405897	408465	-	405983	406376	+	1	end_in_gene	394
operon_226	405897	408465	-	408423	408465	+	1	end_coding_next_gene	43
operon_227	408596	409301	+	408596	408727	-	1	end_coding_next_gene	132
operon_228	409311	412282	+	410415	410954	-	1	end_in_gene	540
operon_228	409311	412282	+	411321	411611	-	1	end_in_gene	291
operon_230	414248	414972	-	413380	413767	+	1	end_in_gene	388
operon_230	414248	414972	-	414271	414754	+	1	end_in_gene	484
operon_230	414248	414972	-	414772	414972	+	1	end_coding_next_gene	201
operon_235	418842	419768	+	418400	418891	-	1	end_as_asRNA_for_next_operon	492
operon_235	418842	419768	+	419264	419327	-	1	end_in_gene	64
operon_236	419778	424134	+	419401	419784	-	1	end_as_asRNA_for_next_operon	384
operon_237	424029	434765	-	422404	422899	+	1	end_in_gene	496
operon_237	424029	434765	-	424168	424603	+	1	end_in_gene	436
operon_237	424029	434765	-	424645	425041	+	1	end_in_gene	397
operon_237	424029	434765	-	427019	427210	+	1	end_in_gene	192
operon_237	424029	434765	-	427846	428266	+	2	end_in_gene	421
operon_237	424029	434765	-	429440	430127	+	1	end_in_gene	688
operon_237	424029	434765	-	430232	430873	+	1	end_in_gene	642
operon_238	434775	436826	-	434970	435482	+	2	end_in_gene	513
operon_238	434775	436826	-	436820	437151	+	1	end_as_asRNA_for_next_operon	332
operon_241	438308	438718	-	437519	437932	+	1	end_in_gene	414
operon_242	438791	441256	+	439436	439789	-	1	end_in_gene	354
operon_244	442395	443058	+	442565	442714	-	1	end_in_gene	150
operon_246	445270	454373	-	447791	448184	+	1	end_in_gene	394
operon_246	445270	454373	-	454163	454374	+	1	end_as_asRNA_for_next_operon	212
operon_249	456207	459319	-	455978	456253	+	1	end_in_gene	276
operon_249	456207	459319	-	457026	457427	+	1	end_in_gene	402
operon_249	456207	459319	-	458918	459264	+	1	end_in_gene	347
operon_251	462134	463384	+	462634	462997	-	1	end_in_gene	364
operon_253	466679	468248	-	463607	463966	+	1	end_in_gene	360
operon_252	463394	466663	+	464980	465287	-	1	end_in_gene	308
operon_252	463394	466663	+	465723	466011	-	1	end_in_gene	289
operon_256	471243	472674	-	469594	470106	+	1	end_in_gene	513
operon_259	474943	476351	+	475870	476131	-	1	end_in_gene	262
operon_263	480173	485101	-	479792	480223	+	1	end_in_gene	432
operon_263	480173	485101	-	480911	481424	+	2	end_in_gene	514
operon_263	480173	485101	-	481627	481999	+	1	end_in_gene	373
operon_263	480173	485101	-	482288	482790	+	2	end_in_gene	503
operon_263	480173	485101	-	482933	483180	+	1	end_in_gene	248
operon_263	480173	485101	-	483280	483652	+	1	end_in_gene	373
operon_263	480173	485101	-	483757	484321	+	2	end_in_gene	565
operon_264	483833	489880	+	484132	484480	-	1	end_in_gene	349
operon_265	489952	490708	-	484426	484557	+	2	end_in_gene	132
operon_264	483833	489880	+	484953	485101	-	2	end_in_gene	149
operon_265	489952	490708	-	486978	487384	+	1	end_in_gene	407
operon_267	495021	499666	-	490786	491361	+	1	end_in_gene	576
operon_266	490786	495055	+	492789	492862	-	1	end_in_gene	74
operon_267	495021	499666	-	494749	495133	+	1	end_in_gene	385
operon_266	490786	495055	+	494877	495006	-	1	end_in_gene	130
operon_267	495021	499666	-	495556	495979	+	1	end_in_gene	424
operon_267	495021	499666	-	497635	497797	+	1	end_in_gene	163
operon_267	495021	499666	-	498163	498965	+	2	end_in_gene	803
operon_269	500379	501021	-	499749	500226	+	1	end_in_gene	478
operon_270	501054	503487	+	502481	502753	-	1	end_in_gene	273
operon_272	505054	506554	+	505231	505581	-	1	end_in_gene	351
operon_273	506595	507044	-	505469	506021	+	2	end_in_gene	553
operon_275	510335	513217	-	510453	510882	+	1	end_in_gene	430
operon_275	510335	513217	-	511050	511236	+	1	end_in_gene	187
operon_275	510335	513217	-	511702	512050	+	1	end_in_gene	349
operon_275	510335	513217	-	513153	513380	+	1	end_as_asRNA_for_next_operon	228
operon_277	515947	516899	-	516087	516430	+	2	end_in_gene	344
operon_279	518663	519593	+	519098	519398	-	1	end_in_gene	301
operon_281	522180	526089	-	519603	520051	+	1	end_in_gene	449
operon_281	522180	526089	-	521678	522177	+	1	end_in_gene	500
operon_280	519603	522340	+	521858	522222	-	1	end_in_gene	365
operon_282	526099	527363	-	526145	526520	+	1	end_in_gene	376
operon_285	530242	530729	-	529705	530292	+	1	end_in_gene	588
operon_285	530242	530729	-	530490	530903	+	1	end_as_asRNA_for_next_operon	414
operon_288	532924	534401	-	532399	533296	+	1	end_in_gene	898
operon_288	532924	534401	-	534324	534695	+	1	end_as_asRNA_for_next_operon	372
operon_290	535494	538553	-	535646	535981	+	1	end_in_gene	336
operon_290	535494	538553	-	536568	536961	+	1	end_in_gene	394
operon_290	535494	538553	-	538342	538728	+	1	end_as_asRNA_for_next_operon	387
operon_291	538563	542096	-	539140	539409	+	1	end_in_gene	270
operon_291	538563	542096	-	540230	540617	+	1	end_in_gene	388
operon_293	545198	545829	-	542163	542602	+	1	end_in_gene	440
operon_293	545198	545829	-	542970	543022	+	1	end_in_gene	53
operon_292	542163	545368	+	543261	543569	-	1	end_in_gene	309
operon_292	542163	545368	+	544517	544730	-	1	end_in_gene	214
operon_292	542163	545368	+	544823	545235	-	1	end_in_gene	413
operon_293	545198	545829	-	545683	546114	+	1	end_as_asRNA_for_next_operon	432
operon_294	545839	548249	-	546346	546891	+	1	end_in_gene	546
operon_295	548259	549612	-	549113	549439	+	1	end_in_gene	327
operon_297	551713	552607	+	551876	552312	-	2	end_in_gene	437
operon_299	554322	555124	-	552617	553061	+	1	end_in_gene	445
operon_299	554322	555124	-	554328	554895	+	1	end_in_gene	568
operon_302	557439	559853	+	558269	558554	-	1	end_in_gene	286
operon_302	557439	559853	+	559385	559752	-	1	end_in_gene	368
operon_304	560761	561790	-	560863	561453	+	1	end_in_gene	591
operon_309	567909	568972	-	568135	568187	+	1	end_in_gene	53
operon_309	567909	568972	-	568356	568908	+	1	end_in_gene	553
operon_310	568982	569810	-	569356	569740	+	1	end_in_gene	385
operon_312	570542	571745	+	570542	570816	-	1	end_coding_next_gene	275
operon_312	570542	571745	+	571372	571596	-	1	end_in_gene	225
operon_314	573078	573808	-	571755	572236	+	1	end_in_gene	482
operon_315	573840	575350	+	573887	574282	-	1	end_in_gene	396
operon_319	581505	584685	-	579352	579837	+	1	end_in_gene	486
operon_319	581505	584685	-	583576	583942	+	1	end_in_gene	367
operon_321	585436	586317	-	584706	585194	+	1	end_in_gene	489
operon_321	585436	586317	-	586113	586317	+	1	end_coding_next_gene	205
operon_323	586723	590088	+	587412	587761	-	1	end_in_gene	350
operon_323	586723	590088	+	587833	588147	-	1	end_in_gene	315
operon_324	590098	591034	+	590190	590417	-	1	end_in_gene	228
operon_324	590098	591034	+	590525	590985	-	2	end_in_gene	461
operon_326	591450	592707	+	591923	592283	-	1	end_in_gene	361
operon_327	592717	593864	+	592848	593129	-	1	end_in_gene	282
operon_328	593880	594784	-	593400	593755	+	1	end_in_gene	356
operon_327	592717	593864	+	593504	593869	-	1	end_in_gene	366
operon_328	593880	594784	-	594237	594514	+	1	end_in_gene	278
operon_329	594794	595452	-	594981	595216	+	1	end_in_gene	236
operon_330	595462	596634	-	596628	596634	+	1	end_coding_next_gene	7
operon_332	599851	600390	+	600121	600379	-	1	end_in_gene	259
operon_333	600400	602288	+	600974	601333	-	1	end_in_gene	360
operon_335	608075	608592	-	603105	603403	+	1	end_in_gene	299
operon_335	608075	608592	-	605467	606005	+	3	end_in_gene	539
operon_335	608075	608592	-	607057	607403	+	1	end_in_gene	347
operon_334	602298	608052	+	607315	607667	-	1	end_in_gene	353
operon_336	608719	610115	+	609501	609768	-	1	end_in_gene	268
operon_337	610125	611165	+	609870	610216	-	1	end_as_asRNA_for_next_operon	347
operon_337	610125	611165	+	610788	611072	-	1	end_in_gene	285
operon_340	612911	614319	+	612996	613326	-	1	end_in_gene	331
operon_340	612911	614319	+	613679	614035	-	2	end_in_gene	357
operon_342	614838	619744	+	615898	616268	-	1	end_in_gene	371
operon_342	614838	619744	+	617615	617904	-	1	end_in_gene	290
operon_347	624590	625556	-	622332	622840	+	1	end_in_gene	509
operon_347	624590	625556	-	625028	625306	+	1	end_in_gene	279
operon_350	628301	629969	-	626478	626812	+	1	end_in_gene	335
operon_350	628301	629969	-	628768	628956	+	1	end_in_gene	189
operon_350	628301	629969	-	629839	629969	+	2	end_coding_next_gene	131
operon_351	629938	633048	+	629938	629969	-	1	end_coding_next_gene	32
operon_351	629938	633048	+	631631	631943	-	1	end_in_gene	313
operon_353	635939	637545	-	635946	636391	+	1	end_in_gene	446
operon_353	635939	637545	-	636748	637148	+	1	end_in_gene	401
operon_354	637555	637974	-	637759	638079	+	1	end_as_asRNA_for_next_operon	321
operon_355	637984	638921	-	638475	638775	+	1	end_in_gene	301
operon_358	640874	642814	-	642149	642530	+	2	end_in_gene	382
operon_359	642892	644393	+	643372	643832	-	1	end_in_gene	461
operon_360	644403	645460	+	644496	644837	-	1	end_in_gene	342
operon_361	645470	646291	+	645322	645685	-	1	end_as_asRNA_for_next_operon	364
operon_363	649692	650400	+	649388	649752	-	1	end_as_asRNA_for_next_operon	365
operon_364	650406	650748	-	649692	650177	+	1	end_in_gene	486
operon_364	650406	650748	-	650187	650495	+	1	end_in_gene	309
operon_368	653839	654917	+	654848	654918	-	1	end_in_gene	71
operon_370	655966	658077	-	656458	656894	+	1	end_in_gene	437
operon_370	655966	658077	-	657041	657093	+	1	end_in_gene	53
operon_371	658112	659441	+	658732	659055	-	1	end_in_gene	324
operon_374	663404	665822	-	661059	661639	+	1	end_in_gene	581
operon_374	663404	665822	-	662472	662922	+	1	end_in_gene	451
operon_374	663404	665822	-	665596	665921	+	1	end_as_asRNA_for_next_operon	326
operon_375	665832	668458	-	666554	666841	+	1	end_in_gene	288
operon_376	668468	670142	-	668462	668831	+	1	end_in_gene	370
operon_377	669839	671989	+	669839	670142	-	1	end_coding_next_gene	304
operon_377	669839	671989	+	670951	671160	-	1	end_in_gene	210
operon_378	671964	676033	-	671654	671985	+	1	end_in_gene	332
operon_378	671964	676033	-	676003	676033	+	1	end_coding_next_gene	31
operon_380	677009	677621	-	676241	676799	+	1	end_in_gene	559
operon_382	678342	680498	-	677713	678187	+	1	end_in_gene	475
operon_382	678342	680498	-	678587	679295	+	1	end_in_gene	709
operon_383	678899	681878	+	678899	679149	-	2	end_coding_next_gene	251
operon_383	678899	681878	+	679413	679515	-	1	end_in_gene	103
operon_383	678899	681878	+	680102	680498	-	1	end_in_gene	397
operon_383	678899	681878	+	680709	681051	-	1	end_in_gene	343
operon_384	681875	684275	-	681667	682396	+	1	end_in_gene	730
operon_385	684413	685929	+	685595	685659	-	1	end_in_gene	65
