TR_name	start_site	direction	TR_type	End_of_primary_data	actual_end_of_primary_data	min_of_primary_data	max_of_primary_data	End_of_total_data	actual_End_of_total_data	min_of_total_data	max_of_total_data
TR_152321	152321	+	upstream_sense	154127	152922	152679	153091	0	0	0	0
TR_154062	154062	-	antisense_in_gene	153721	153716	153692	153742	153741	153746	153661	153810
TR_154703	154703	+	in_gene_sense	155105	155094	155076	155118	156862	156845	156824	156861
TR_154970	154970	-	antisense_in_gene	154591	154509	154136	154663	154672	154461	154221	154706
TR_155665	155665	+	leaderless_sense	156752	156391	156230	156742	157083	157073	157073	157073
TR_157651	157651	-	upstream_sense	156576	156858	156734	156977	156516	156452	156356	156527
TR_157828	157828	+	upstream_sense	158423	158410	158344	158466	158450	158504	158440	158549
TR_159668	159668	-	upstream_sense	158313	159156	159087	159188	158313	158599	158368	158688
TR_160274	160274	+	antisense_in_gene	160735	160718	160685	160730	160695	160743	160685	160830
TR_160867	160867	+	leaderless_sense	161472	161511	161348	161704	161472	161652	161373	161746
TR_161393	161393	+	sense_for_next	161756	161746	161746	161746	161756	161746	161746	161746
TR_161766	161766	+	upstream_sense	162671	162531	162407	162690	162739	162844	162729	162893
TR_163306	163306	+	upstream_sense	164689	164155	163994	164263	165133	165622	165123	166888
TR_163312	163312	-	upstream_sense	162642	162778	162700	162802	162642	162619	162548	162678
TR_164782	164782	+	antisense_in_gene	165282	165272	165272	165272	0	0	0	0
TR_165269	165269	-	upstream_sense	164710	164828	164808	164854	164710	164695	164624	164767
TR_165292	165292	+	upstream_sense	166847	165801	165707	165853	166898	166888	166888	166888
TR_166062	166062	+	in_gene_sense	166587	166521	166422	166642	0	0	0	0
TR_166661	166661	-	antisense_in_gene	166307	166324	166295	166367	166351	166217	166003	166361
TR_166908	166908	+	leaderless_sense	167560	167597	167550	167832	167560	167924	167550	168692
TR_167570	167570	+	antisense_in_gene	168213	168223	168038	168411	168027	168310	168017	168603
TR_167682	167682	-	upstream_sense	167153	167167	167163	167190	167133	167118	167095	167143
TR_169304	169304	+	antisense_in_gene	169697	169691	169661	169731	169599	169665	169589	169750
TR_169341	169341	-	antisense_for_next	168859	168871	168833	168927	168845	168778	168701	168855
TR_170126	170126	-	in_gene_sense	169527	169541	169490	169662	169351	168986	168599	169361
TR_170483	170483	+	in_gene_sense	171600	171390	171180	171658	171203	171909	171193	172231
TR_173229	173229	+	upstream_sense	174756	174026	173912	174102	176806	176821	176796	176876
TR_174816	174816	+	upstream_sense	177287	176559	175351	177277	0	0	0	0
TR_177595	177595	-	sense_for_next	177008	177093	177002	177210	177218	177057	176710	177228
TR_177733	177733	+	antisense_in_gene	179405	178904	178166	179493	178105	178617	178095	179978
TR_183208	183208	-	upstream_sense	181985	182636	182542	182750	181153	181123	180782	181907
TR_183579	183579	+	upstream_sense	184720	184331	184193	184433	186702	186910	186684	187569
TR_185076	185076	-	antisense_in_gene	184581	184584	184508	184634	184421	184420	184397	184431
TR_185497	185497	+	in_gene_sense	186071	186027	185959	186061	0	0	0	0
TR_186081	186081	+	antisense_for_next	186708	186695	186687	186698	0	0	0	0
TR_186649	186649	-	upstream_sense	186267	186272	186237	186303	186314	186270	186169	186331
TR_186718	186718	+	upstream_sense	187778	187721	187369	187953	187952	187933	187924	187942
TR_188862	188862	-	upstream_sense	187431	188413	188369	188448	187431	187991	187362	188325
TR_192866	192866	-	in_gene_sense	192491	192501	192501	192502	192491	192500	192500	192501
TR_193115	193115	+	leaderless_sense	193570	193123	193123	193123	194109	193254	193123	193649
TR_193356	193356	-	antisense_in_gene	192876	192925	192886	193120	192876	192770	192425	192886
TR_193669	193669	+	in_gene_sense	194380	194359	194311	194406	194413	194446	194403	194483
TR_194916	194916	+	upstream_sense	196655	195521	195452	195570	198527	197879	197431	198188
TR_194929	194929	-	upstream_sense	194142	194462	194263	194525	194142	194203	194042	194379
TR_196461	196461	+	sense_for_next	196723	196705	196666	196713	0	0	0	0
TR_196733	196733	+	upstream_sense	197656	197402	197300	197448	0	0	0	0
TR_197083	197083	-	antisense_in_gene	196464	196496	196474	196541	196427	196398	196358	196437
TR_199503	199503	-	antisense_in_gene	199146	199135	199040	199173	199197	199148	199085	199207
TR_200272	200272	-	antisense_in_gene	200044	200040	199989	200057	200036	199888	199523	200095
TR_200426	200426	+	sense_for_next	202477	201284	200992	201953	202477	203824	202048	204416
TR_201025	201025	-	antisense_in_gene	200566	200585	200499	200638	200556	200402	200088	200596
TR_201673	201673	-	antisense_in_gene	201305	201312	201285	201335	201351	201314	201281	201361
TR_202147	202147	+	sense_for_next	205235	203745	202403	205202	206776	206137	206137	206137
TR_202826	202826	-	antisense_in_gene	202429	202393	202243	202464	202447	202282	202044	202472
TR_203411	203411	-	antisense_in_gene	202836	202846	202846	202846	202836	202846	202846	202846
TR_205222	205222	+	sense_for_next	206776	205930	205697	206039	208418	207759	207659	207825
TR_205420	205420	-	antisense_in_gene	204756	204711	204348	204808	204814	204676	204418	204824
TR_206059	206059	+	sense_for_next	206776	206586	206586	206586	0	0	0	0
TR_206606	206606	+	sense_for_next	208418	207443	207147	207553	208418	207540	207540	207540
TR_206608	206608	-	antisense_in_gene	205986	206022	205903	206066	205988	205646	204836	205998
TR_208326	208326	+	sense_for_next	209670	209380	209257	209481	209775	209804	209765	209835
TR_209445	209445	-	antisense_in_gene	209103	209116	209103	209148	209121	209150	209131	209174
TR_210815	210815	-	upstream_sense	209701	210569	210449	210622	209701	210084	209545	210622
TR_211323	211323	+	antisense_in_gene	211737	211719	211698	211741	211744	211780	211734	211845
TR_211435	211435	-	sense_for_next	210890	211008	210943	211072	0	0	0	0
TR_212270	212270	-	upstream_sense	210890	211588	211455	211673	210890	210860	210835	210927
TR_214024	214024	-	in_gene_sense	213446	213461	213400	213565	212972	213029	212935	213172
TR_214085	214085	+	antisense_in_gene	214841	214799	214662	214866	214957	216471	214947	217995
TR_214967	214967	+	leaderless_sense	218342	216324	215802	217115	218342	217995	217995	217995
TR_218015	218015	+	antisense_for_next	218457	218430	218409	218447	218410	218466	218400	218515
TR_218608	218608	-	upstream_sense	218189	218144	218047	218213	218138	217862	217456	218148
TR_218709	218709	+	leaderless_sense	219417	219407	219407	219407	219417	219407	219407	219407
TR_219427	219427	+	upstream_sense	220244	220211	220167	220240	220209	220306	220199	220379
TR_220053	220053	-	antisense_for_next	219484	219494	219494	219494	219484	219494	219494	219494
TR_221721	221721	-	leaderless_sense	219994	221174	221142	221219	219994	220484	219892	221080
TR_221731	221731	+	upstream_sense	221721	221924	221711	222357	223528	222333	221711	222624
TR_221817	221817	+	upstream_sense	223528	222368	222347	222397	223528	222413	222413	222413
TR_222390	222390	-	antisense_in_gene	221910	221930	221905	221973	222013	221944	221889	222023
TR_223578	223578	+	leaderless_sense	224662	224031	223995	224049	224956	225057	224946	225137
TR_224143	224143	+	sense_for_next	224664	224641	224443	224713	0	0	0	0
TR_224733	224733	+	antisense_in_gene	225160	225108	225050	225150	0	0	0	0
TR_225016	225016	-	antisense_for_next	224652	224701	224662	224734	224706	224650	224524	224751
TR_228184	228184	-	antisense_in_gene	227783	227900	227793	228027	227896	227288	225036	228173
TR_231272	231272	-	antisense_in_gene	230808	230827	230796	230851	230904	230913	230824	231012
TR_231600	231600	+	upstream_sense	234475	232152	232053	232281	234475	232966	231958	233844
TR_233864	233864	+	antisense_for_next	234375	234345	234277	234367	234458	234427	234359	234453
TR_236550	236550	+	leaderless_sense	237895	237565	237330	238055	238033	238097	238023	238158
TR_236760	236760	-	antisense_in_gene	235919	236035	235929	236109	236517	236527	236527	236527
TR_238897	238897	-	sense_for_next	237892	238355	238237	238650	237892	238083	237975	238220
TR_240720	240720	-	in_gene_sense	240198	240240	240119	240414	239861	239394	238917	239871
TR_241335	241335	-	upstream_sense	238392	240838	240804	240870	238392	240094	238917	240891
TR_241436	241436	+	upstream_sense	242351	242272	242141	242347	242284	242397	242274	242489
TR_243214	243214	-	leaderless_sense	241976	242592	242569	242613	241976	242297	242126	242446
TR_243384	243384	+	leaderless_sense	244487	244054	243804	244251	244558	244583	244548	244603
TR_244634	244634	+	antisense_in_gene	245123	245115	245110	245123	245002	245059	244982	245142
TR_247283	247283	+	antisense_in_gene	247840	247820	247747	247874	247871	247968	247861	248116
TR_247525	247525	-	sense_for_next	244484	246940	246879	247028	244484	245567	244832	246606
TR_248115	248115	-	sense_for_next	247384	247545	247545	247545	0	0	0	0
TR_248888	248888	-	leaderless_sense	248115	248341	248240	248504	247384	246883	244898	247545
TR_249020	249020	+	upstream_sense	250123	249578	249423	249610	250123	249417	249020	249610
TR_249630	249630	+	sense_for_next	251598	250410	249992	250591	250123	250561	249992	251493
TR_251676	251676	+	upstream_sense	253602	252748	252389	253108	253949	254018	253939	254161
TR_253207	253207	+	antisense_for_next	253835	253864	253696	254100	0	0	0	0
TR_254666	254666	-	sense_for_next	253669	254308	254299	254313	253669	254160	253801	254322
TR_254857	254857	+	antisense_in_gene	255716	255670	255622	255706	255708	255747	255698	255839
TR_256070	256070	-	antisense_in_gene	255413	255460	255423	255508	255717	255151	254686	255727
TR_258039	258039	-	antisense_for_next	257595	257616	257595	257647	257607	257471	257377	257617
TR_258884	258884	-	upstream_sense	257783	258236	258059	258340	257783	258089	258059	258181
TR_258903	258903	+	upstream_sense	259926	259625	259419	259859	259926	259997	259686	260121
TR_260831	260831	-	leaderless_sense	259923	260179	259832	260452	259923	260048	259686	260473
TR_261421	261421	-	antisense_in_gene	261057	261062	261025	261094	261021	260934	260851	261031
TR_261483	261483	+	in_gene_sense	261923	261931	261886	262029	261900	261988	261872	262176
TR_262814	262814	+	leaderless_sense	264023	263435	263366	263500	265476	265499	264563	266426
TR_266538	266538	+	antisense_in_gene	267088	267046	267018	267078	267087	267125	267077	267189
TR_267702	267702	+	antisense_in_gene	268177	268200	268101	268357	268176	268384	268166	268515
TR_268627	268627	-	leaderless_sense	267863	268117	268096	268167	267863	267443	266121	268098
TR_268662	268662	+	upstream_sense	269817	269255	269185	269352	269904	269942	269894	269972
TR_271804	271804	-	sense_for_next	269834	271350	271288	271424	269834	271075	271075	271075
TR_273041	273041	-	upstream_sense	271574	272448	272256	272556	271574	271483	270882	272479
TR_273121	273121	+	in_gene_sense	273921	274015	273822	274338	274296	274483	274286	274664
TR_273954	273954	+	antisense_for_next	274387	274362	274320	274377	0	0	0	0
TR_274397	274397	+	antisense_in_gene	274750	274737	274674	274778	274638	274648	274628	274668
TR_274904	274904	-	leaderless_sense	274271	274332	274273	274406	274306	274189	274097	274338
TR_275963	275963	-	leaderless_sense	274983	275223	274924	275486	274914	274924	274924	274924
TR_276025	276025	+	upstream_sense	277764	276968	276763	277101	277866	277856	277856	277856
TR_277453	277453	-	antisense_in_gene	277079	277071	276972	277129	277146	277040	276930	277156
TR_277876	277876	+	upstream_sense	278588	278293	278238	278378	279580	279559	279538	279576
TR_278754	278754	-	antisense_in_gene	278409	278360	278016	278453	278540	278389	277988	278550
TR_281017	281017	-	in_gene_sense	280387	280382	280174	280526	279581	279591	279591	279593
TR_281533	281533	+	antisense_in_gene	282469	282264	281933	282548	282189	282430	282179	282686
TR_284119	284119	+	antisense_in_gene	284606	284595	284525	284676	284535	284637	284525	284822
TR_285187	285187	-	in_gene_sense	284825	284833	284665	284989	284976	283483	282356	284986
TR_285210	285210	+	antisense_in_gene	285644	285636	285608	285661	285600	285648	285572	285749
TR_287111	287111	-	upstream_sense	282649	286795	286785	286799	282649	286640	286446	286801
TR_287186	287186	+	leaderless_sense	288352	288112	287739	288376	288386	288376	288376	288376
TR_288396	288396	+	upstream_sense	289077	289062	289040	289067	289782	289650	289538	289769
TR_289087	289087	+	upstream_sense	289782	289489	289442	289521	0	0	0	0
TR_292057	292057	+	upstream_sense	293493	292748	292627	292833	293723	293769	293713	293791
TR_292097	292097	-	upstream_sense	290665	291499	291458	291568	289812	290046	289633	290541
TR_292386	292386	-	antisense_in_gene	292107	292117	292117	292117	292096	292114	292106	292117
TR_293605	293605	+	down_stream_antisense	294032	293994	293964	294022	0	0	0	0
TR_294287	294287	+	antisense_in_gene	294679	294684	294654	294761	294664	294747	294654	294922
TR_295688	295688	+	upstream_sense	295956	295946	295946	295946	295956	295946	295946	295946
TR_295712	295712	-	upstream_sense	293798	295057	294919	295159	293721	293731	293731	293733
TR_295966	295966	+	upstream_sense	296509	296502	296481	296533	296554	296559	296544	296573
TR_296559	296559	-	down_stream_antisense	296072	296072	296039	296089	296091	296041	296015	296101
TR_297374	297374	+	in_gene_sense	297512	297502	297502	297502	297512	297502	297502	297502
TR_297522	297522	+	antisense_for_next	297938	297965	297908	298074	297892	298144	297882	298273
TR_298146	298146	-	antisense_for_next	297466	297473	297417	297554	297855	297629	297279	297865
TR_298918	298918	+	antisense_in_gene	299268	299248	299236	299260	299200	299253	299190	299318
TR_299960	299960	+	antisense_in_gene	300351	300306	300234	300378	300209	300227	300138	300335
TR_301301	301301	-	in_gene_sense	300568	300530	300408	300639	297953	298095	297963	298228
TR_302068	302068	-	upstream_sense	300834	301611	301509	301702	301692	301279	300647	301702
TR_302710	302710	-	upstream_sense	302103	302122	302113	302128	302108	301978	301620	302118
TR_302853	302853	+	upstream_sense	305427	303495	303280	303639	305427	305634	305190	305909
TR_306349	306349	-	leaderless_sense	305783	305825	305689	305970	305825	305822	305676	305968
TR_306924	306924	-	sense_for_next	306374	306501	306427	306536	306374	306041	305600	306519
TR_307974	307974	+	antisense_in_gene	308344	308398	308287	308749	308291	308416	308281	308749
TR_308769	308769	+	antisense_in_gene	308913	308903	308903	308903	308913	308903	308903	308903
TR_308923	308923	+	antisense_in_gene	309374	309378	309342	309404	309385	309486	309375	309617
TR_309855	309855	+	in_gene_sense	310348	310387	310302	310480	310395	310581	310385	310713
TR_310264	310264	-	down_stream_antisense	309699	309709	309709	309709	309699	309481	309254	309709
TR_310749	310749	-	leaderless_sense	310274	310188	309709	310284	310274	309996	309709	310284
