genome_position	direction	TSS_intensity	Initiated_opeoron_or_not	location_in_genes	New_tss_intensity	fold_change	upstream_tss_coverage	downstream_tss_coverage	
160274	+	267	operon_start_site	gene_antisense	240	10.28	238	2457	TSS
161766	+	731	operon_start_site	gap_sense	575	11.5	518	5969	TSS
163306	+	117	operon_start_site	gap_sense	92	9.06	106	969	TSS
163314	-	506	operon_start_site	gap_sense	460	11.7	347	4070	TSS
165269	-	338	operon_start_site	gap_sense	199	7.68	260	2004	TSS
165292	+	130	operon_start_site	gap_sense	99	2.45	663	1627	TSS
166908	+	785	operon_start_site	gene_sense_leadless	188	15.83	117	1868	TSS
167570	+	186	operon_start_site	gene_antisense	182	4.53	497	2255	TSS
167682	-	545	operon_start_site	gap_sense	593	323.71	16	5503	TSS
169304	+	61	operon_start_site	gene_antisense	38	6.52	65	430	TSS
171213	+	1463	operon_start_site	gene_sense_leadless	1615	4.19	4428	18573	TSS
173229	+	587	operon_start_site	gap_sense	230	5.64	463	2619	TSS
177596	-	104	operon_start_site	gene_sense	101	18.54	49	927	TSS
183208	-	237	operon_start_site	gap_sense	175	104.8	14	1572	TSS
183579	+	308	operon_start_site	gap_sense	229	11.71	193	2272	TSS
186649	-	1207	operon_start_site	gap_sense	425	23.83	177	4241	TSS
186718	+	194	operon_start_site	gap_sense	130	7.16	194	1397	TSS
188862	-	66	operon_start_site	gap_sense	50	21.95	20	461	TSS
190605	+	38	operon_start_site	gene_sense_leadless	18	3.53	67	240	TSS
193115	+	125	operon_start_site	gene_sense_leadless	126	8.17	160	1315	TSS
193356	-	52	operon_start_site	gene_antisense	48	410	0	410	TSS
193669	+	1965	operon_start_site	gene_sense	1762	67.48	261	17680	TSS
194916	+	1561	operon_start_site	gap_sense	265	24.2	109	2662	TSS
194929	-	204	operon_start_site	gap_sense	21	4.49	50	229	TSS
196733	+	744	operon_start_site	gap_sense	191	2.61	1158	3026	TSS
206647	+	1482	operon_start_site	gene_sense	1714	3.22	7206	23220	TSS
208326	+	327	operon_start_site	gene_sense	290	5.62	555	3126	TSS
210815	-	716	operon_start_site	gap_sense	817	72.77	100	7350	TSS
212270	-	120	operon_start_site	gap_sense	106	9.02	80	731	TSS
214085	+	243	operon_start_site	gene_antisense	252	23	108	2507	TSS
214967	+	267	operon_start_site	gene_sense_leadless	177	5.55	365	2031	TSS
218607	-	4800	operon_start_site	gap_sense	15140	35.78	4036	144428	TSS
218709	+	122	operon_start_site	gene_sense	166	8.92	196	1757	TSS
219427	+	1233	operon_start_site	gap_sense	268	3.68	929	3418	TSS
221721	-	381	operon_start_site	gene_sense_leadless	236	5.27	499	2635	TSS
221817	+	2115	operon_start_site	gap_sense	2185	9.31	2511	23397	TSS
223578	+	578	operon_start_site	gene_sense	279	8.46	358	3036	TSS
236507	-	292	operon_start_site	gene_sense_leadless	227	1.79	2401	4302	TSS
236550	+	80	operon_start_site	gene_sense_leadless	70	3.65	239	875	TSS
238897	-	2086	operon_start_site	gene_sense	1524	28.26	515	14581	TSS
241335	-	224	operon_start_site	gap_sense	322	1015	2	3045	TSS
241436	+	447	operon_start_site	gap_sense	467	10.46	457	4790	TSS
243214	-	444	operon_start_site	gene_sense_leadless	696	50.68	132	6741	TSS
243384	+	142	operon_start_site	gene_sense_leadless	117	5.82	237	1386	TSS
247525	-	373	operon_start_site	gene_sense	398	12.7	327	4164	TSS
248888	-	279	operon_start_site	gene_sense	206	7.07	300	2129	TSS
249020	+	54	operon_start_site	gap_sense	38	5.42	78	428	TSS
249630	+	152	operon_start_site	gene_sense	105	10.59	101	1080	TSS
251676	+	286	operon_start_site	gap_sense	348	343.14	13	4804	TSS
254666	-	84	operon_start_site	gene_sense	56	5.29	118	630	TSS
256070	-	61	operon_start_site	gene_antisense	48	21.55	21	474	TSS
258884	-	117	operon_start_site	gap_sense	64	196.33	2	589	TSS
258913	+	136	operon_start_site	gene_sense_leadless	113	2.22	882	1957	TSS
261423	-	67	operon_start_site	gene_antisense	45	7.3	52	387	TSS
261483	+	76	operon_start_site	gene_sense	68	5.79	135	787	TSS
262812	+	900	operon_start_site	gene_sense_leadless	390	12.03	322	3887	TSS
268631	-	128	operon_start_site	gap_sense	141	5	183	920	TSS
268662	+	225	operon_start_site	gap_sense	190	11.97	157	1891	TSS
273041	-	59	operon_start_site	gap_sense	37	5.67	72	414	TSS
273121	+	72	operon_start_site	gene_sense	59	46.08	12	599	TSS
274904	-	603	operon_start_site	gene_sense_leadless	494	37.25	126	4731	TSS
275963	-	137	operon_start_site	gene_sense_leadless	86	7.51	124	939	TSS
276025	+	225	operon_start_site	gap_sense	109	6.69	175	1178	TSS
277876	+	856	operon_start_site	gap_sense	209	17.27	122	2124	TSS
287108	-	3337	operon_start_site	gap_sense	1679	3.11	6497	20194	TSS
287186	+	174	operon_start_site	gene_sense_leadless	177	8.31	234	1952	TSS
288396	+	361	operon_start_site	gap_sense	175	14.49	128	1869	TSS
289087	+	705	operon_start_site	gap_sense	462	8.42	581	4898	TSS
292086	-	818	operon_start_site	gap_sense	427	13.24	322	4278	TSS
292134	+	698	operon_start_site	gap_sense	395	4.05	1305	5289	TSS
295712	-	270	operon_start_site	gap_sense	220	14.55	150	2197	TSS
295966	+	399	operon_start_site	gap_sense	419	6.72	681	4586	TSS
301683	-	578	operon_start_site	gap_sense	484	2.95	2060	6089	TSS
302068	-	763	operon_start_site	gap_sense	247	2.71	1328	3598	TSS
302710	-	2951	operon_start_site	gap_sense	1088	120.95	83	10160	TSS
302866	+	199	operon_start_site	gene_sense_leadless	242	4.48	644	2890	TSS
306349	-	65	operon_start_site	gene_sense_leadless	77	6.58	112	743	TSS
308923	+	827	operon_start_site	gene_antisense	608	4.49	1587	7133	TSS
309839	-	299	operon_start_site	gene_antisense	344	7.12	503	3587	TSS
310749	-	83	operon_start_site	gene_sense_leadless	47	9.17	51	477	TSS
314854	-	109	operon_start_site	gene_sense_leadless	133	7.67	179	1380	TSS
316439	-	402	operon_start_site	gap_sense	217	53	26	1431	TSS
317951	-	131	operon_start_site	gene_sense	343	2.82	1060	2992	TSS
321350	-	82	operon_start_site	gene_antisense	103	9.16	115	1062	TSS
323281	-	524	operon_start_site	gap_sense	501	3.38	1305	4419	TSS
324525	-	107	operon_start_site	gene_sense	71	12.45	41	523	TSS
324567	+	754	operon_start_site	gene_sense_leadless	581	15.44	380	5882	TSS
328499	-	245	operon_start_site	gap_sense	201	29.55	64	1921	TSS
329719	-	157	operon_start_site	gene_sense	93	5.32	190	1016	TSS
330350	-	76	operon_start_site	gap_sense	48	15.58	30	483	TSS
330375	+	629	operon_start_site	gap_sense	247	9.84	259	2559	TSS
331693	-	615	operon_start_site	gap_sense	575	31.83	169	5411	TSS
331705	+	2090	operon_start_site	gap_sense	1881	11.02	1782	19645	TSS
333421	-	4652	operon_start_site	gap_sense	4361	1156.24	20	24281	TSS
338182	-	149	operon_start_site	gene_sense	53	3.37	213	722	TSS
339143	-	110	operon_start_site	gap_sense	62	3.72	198	740	TSS
339322	+	4587	operon_start_site	gap_sense	524	19.06	272	5203	TSS
340998	+	527	operon_start_site	gene_sense_leadless	384	20.29	196	3998	TSS
341980	+	2567	operon_start_site	gap_sense	820	2.02	6777	13685	TSS
358074	-	164	operon_start_site	gap_sense	136	2.81	678	1907	TSS
358136	+	46	operon_start_site	gap_sense	38	34.55	10	380	TSS
359748	-	86	operon_start_site	gene_sense_leadless	71	5.96	120	721	TSS
361200	-	87	operon_start_site	gap_sense	67	11.42	52	605	TSS
361265	+	1371	operon_start_site	gap_sense	1256	19	669	12733	TSS
363252	+	3624	operon_start_site	gene_sense_leadless	2852	10.2	2962	30229	TSS
364523	+	837	operon_start_site	gap_sense	876	6.99	1373	9598	TSS
373788	-	61	operon_start_site	gene_sense	21	6.97	30	216	TSS
375749	-	264	operon_start_site	gap_sense	355	25.5	91	2346	TSS
375758	+	41	operon_start_site	gap_sense	21	14.71	13	206	TSS
377060	-	128	operon_start_site	gap_sense	100	13.56	42	583	TSS
377113	+	377	operon_start_site	gene_sense_leadless	399	13.56	303	4122	TSS
377931	+	674	operon_start_site	gene_sense_leadless	605	9.04	733	6638	TSS
379130	-	69	operon_start_site	gene_sense	18	15.09	10	166	TSS
379172	+	51	operon_start_site	gene_sense_leadless	23	7.78	31	249	TSS
380522	+	574	operon_start_site	gap_sense	413	14.18	289	4112	TSS
382471	+	1539	operon_start_site	gap_sense	1023	32.27	312	10101	TSS
383514	-	280	operon_start_site	gene_sense	232	1.81	2668	4838	TSS
383608	+	392	operon_start_site	gene_sense	374	12.44	301	3758	TSS
385967	-	207	operon_start_site	gap_sense	189	2.82	948	2675	TSS
386282	-	77	operon_start_site	gap_sense	38	3.64	120	441	TSS
387073	-	78	operon_start_site	gene_sense	56	10.49	50	535	TSS
387083	+	88	operon_start_site	gene_antisense	59	12	48	588	TSS
387888	+	95	operon_start_site	gene_sense_leadless	73	6.89	115	799	TSS
388582	+	222	operon_start_site	gene_sense_leadless	171	6.61	300	1991	TSS
391312	+	85	operon_start_site	gap_sense	45	6.06	81	497	TSS
391361	-	84	operon_start_site	gene_antisense	64	98.83	5	593	TSS
394111	+	261	operon_start_site	gene_sense_leadless	186	9.58	202	1945	TSS
396091	-	83	operon_start_site	gap_sense	62	13.14	34	460	TSS
396168	+	122	operon_start_site	gap_sense	38	32.91	10	362	TSS
397472	+	152	operon_start_site	gene_sense	149	26.43	57	1533	TSS
398254	+	217	operon_start_site	gene_sense_leadless	105	7.57	147	1120	TSS
400168	+	105	operon_start_site	gap_sense	81	11.08	76	853	TSS
403135	-	138	operon_start_site	gene_sense	94	13.12	72	958	TSS
405887	-	1730	operon_start_site	gap_sense	376	23.16	150	3497	TSS
408465	-	377	operon_start_site	gap_sense	378	10.01	377	3783	TSS
408596	+	283	operon_start_site	gap_sense	263	2.7	1416	3831	TSS
409311	+	2141	operon_start_site	gap_sense	7228	21.24	3397	72176	TSS
412293	+	270	operon_start_site	gene_sense	203	6.93	317	2204	TSS
414972	-	108	operon_start_site	gap_sense	98	14.14	50	721	TSS
415044	+	176	operon_start_site	gap_sense	127	5.16	322	1667	TSS
417026	-	477	operon_start_site	gap_sense	334	17.18	189	3265	TSS
418254	+	56	operon_start_site	gene_sense	2	1.16	120	140	 
418842	+	97	operon_start_site	gene_sense	56	7.07	84	601	TSS
419779	+	881	operon_start_site	gap_sense	556	2.35	3786	8918	TSS
434763	-	162	operon_start_site	gap_sense	225	14.52	148	2163	TSS
436820	+	28	operon_start_site	gap_sense	15	1.95	153	300	TSS
436826	-	186	operon_start_site	gap_sense	133	41.57	20	873	TSS
437519	+	92	operon_start_site	gene_sense_leadless	132	7.24	203	1477	TSS
438716	-	84	operon_start_site	gene_sense	41	9	48	441	TSS
438791	+	468	operon_start_site	gap_sense	586	45.87	126	5826	TSS
442326	-	717	operon_start_site	gap_sense	298	38.79	70	2754	TSS
442396	+	534	operon_start_site	gene_sense_leadless	495	11.79	429	5069	TSS
445260	-	268	operon_start_site	gap_sense	387	87.25	39	3490	TSS
454421	+	69	operon_start_site	gap_sense	69	6.85	110	760	TSS
455978	+	828	operon_start_site	gene_sense_leadless	408	7.07	579	4099	TSS
459317	-	1234	operon_start_site	gap_sense	1123	32.7	330	10825	TSS
462042	-	187	operon_start_site	gap_sense	122	2.69	500	1346	TSS
462134	+	111	operon_start_site	gap_sense	97	22.22	40	911	TSS
463395	+	109	operon_start_site	gap_sense	109	14.95	72	1091	TSS
468247	-	93	operon_start_site	gap_sense	72	45.8	14	687	TSS
468298	+	43	operon_start_site	gap_sense	21	7.53	31	241	TSS
469594	+	239	operon_start_site	gene_sense_leadless	414	27.38	153	4217	TSS
472672	-	106	operon_start_site	gap_sense	56	8.75	64	569	TSS
474844	-	55	operon_start_site	gene_sense_leadless	31	12.4	24	310	TSS
476361	+	1553	operon_start_site	gap_sense	527	25.32	206	5242	TSS
479756	-	153	operon_start_site	gene_sense_leadless	70	628	0	628	TSS
479792	+	136	operon_start_site	gene_sense_leadless	119	22.34	52	1184	TSS
483833	+	207	operon_start_site	gap_sense	79	2.74	411	1129	TSS
485099	-	107	operon_start_site	gene_antisense	55	44.25	11	531	TSS
490786	+	206	operon_start_site	gene_sense_leadless	108	23.72	46	1115	TSS
499666	-	296	operon_start_site	gap_sense	293	26.47	104	2779	TSS
499749	+	314	operon_start_site	gene_sense	363	33.22	110	3687	TSS
501054	+	211	operon_start_site	gap_sense	224	6.84	405	2777	TSS
503498	+	389	operon_start_site	gap_sense	270	8.63	325	2815	TSS
505054	+	318	operon_start_site	gap_sense	244	57.44	40	2355	TSS
507043	-	114	operon_start_site	gap_sense	99	34.5	27	966	TSS
510325	-	352	operon_start_site	gap_sense	281	4.91	651	3200	TSS
513215	-	231	operon_start_site	gene_sense	169	17.41	94	1654	TSS
515861	-	915	operon_start_site	gap_sense	158	1.34	3702	4949	 
516899	-	58	operon_start_site	gene_sense	89	527	0	527	TSS
518404	-	86	operon_start_site	gap_sense	155	769	0	769	TSS
518663	+	1499	operon_start_site	gap_sense	1814	9.93	1837	18259	TSS
519603	+	1019	operon_start_site	gene_sense_leadless	375	2.48	2206	5484	TSS
526089	-	243	operon_start_site	gap_sense	250	10.65	170	1821	TSS
527363	-	89	operon_start_site	gene_sense_leadless	113	43.33	23	1040	TSS
528317	-	116	operon_start_site	gene_sense_leadless	76	4.7	177	837	TSS
528429	+	873	operon_start_site	gap_sense	574	19.97	289	5791	TSS
530727	-	261	operon_start_site	gene_sense_leadless	394	34.15	109	3757	TSS
532399	+	334	operon_start_site	gene_sense_leadless	200	23.51	84	1998	TSS
534400	-	245	operon_start_site	gap_sense	363	16.66	221	3699	TSS
535483	-	511	operon_start_site	gene_sense	472	6.06	881	5341	TSS
538553	-	558	operon_start_site	gap_sense	0	0.86	725	621	 
542018	-	389	operon_start_site	gap_sense	359	3.11	1544	4810	TSS
542163	+	462	operon_start_site	gene_sense	449	22.28	204	4567	TSS
545829	-	1127	operon_start_site	gap_sense	615	72.32	40	2965	TSS
548248	-	126	operon_start_site	gene_sense	152	34.4	41	1445	TSS
549610	-	63	operon_start_site	gene_sense_leadless	103	42.09	22	968	TSS
549647	+	235	operon_start_site	gap_sense	37	4.98	85	428	TSS
551713	+	667	operon_start_site	gap_sense	724	12.13	596	7239	TSS
552617	+	832	operon_start_site	gene_sense_leadless	486	3.77	1604	6050	TSS
555124	-	732	operon_start_site	gene_sense	471	64.82	50	3306	TSS
556309	-	146	operon_start_site	gene_sense_leadless	215	72.85	26	1967	TSS
556408	+	1285	operon_start_site	gap_sense	1734	13.42	1288	17296	TSS
557439	+	824	operon_start_site	gap_sense	923	16.19	579	9392	TSS
559864	+	328	operon_start_site	gap_sense	215	2.48	1317	3263	TSS
561790	-	788	operon_start_site	gap_sense	808	175.9	40	7212	TSS
563455	-	627	operon_start_site	gap_sense	382	7.29	576	4205	TSS
563570	+	289	operon_start_site	gene_sense_leadless	250	4.66	677	3161	TSS
564991	+	466	operon_start_site	gap_sense	988	8.31	1256	10445	TSS
566487	+	1686	operon_start_site	gap_sense	1365	9.22	1559	14389	TSS
568970	-	791	operon_start_site	gene_sense	969	2.93	4497	13168	TSS
569809	-	51	operon_start_site	gene_sense_leadless	35	8.86	41	372	TSS
570515	-	126	operon_start_site	gene_sense_leadless	167	4.02	489	1971	TSS
570542	+	51	operon_start_site	gene_sense_leadless	70	5.4	143	777	TSS
571755	+	1075	operon_start_site	gene_sense	1977	8.9	2235	19896	TSS
573808	-	174	operon_start_site	gap_sense	189	5.04	308	1558	TSS
573840	+	1346	operon_start_site	gap_sense	1574	27.02	577	15620	TSS
575360	+	485	operon_start_site	gene_sense	563	7.06	881	6224	TSS
578429	+	438	operon_start_site	gene_sense_leadless	310	8.94	370	3317	TSS
579352	+	648	operon_start_site	gene_sense_leadless	558	2.35	3894	9137	TSS
584685	-	67	operon_start_site	gene_sense	36	9.44	38	368	TSS
584706	+	35	operon_start_site	gene_sense	34	10.06	35	362	TSS
586349	+	153	operon_start_site	gap_sense	143	6.67	228	1528	TSS
586723	+	649	operon_start_site	gene_sense	470	3.55	1619	5750	TSS
590098	+	489	operon_start_site	gene_sense	346	3.5	1312	4596	TSS
591044	+	4090	operon_start_site	gap_sense	3044	20.26	1500	30412	TSS
591450	+	3028	operon_start_site	gap_sense	2562	2.26	19263	43537	TSS
592717	+	3138	operon_start_site	gene_sense	2174	50.07	423	21228	TSS
594782	-	480	operon_start_site	gene_sense_leadless	628	5.29	1309	6929	TSS
595456	-	254	operon_start_site	gap_sense	271	8.98	197	1779	TSS
596658	+	375	operon_start_site	gap_sense	187	8.25	360	2980	TSS
599851	+	134	operon_start_site	gene_sense	93	3.01	406	1224	TSS
600400	+	1089	operon_start_site	gap_sense	1087	8.77	1279	11231	TSS
602298	+	1984	operon_start_site	gene_sense	2418	11.08	2202	24409	TSS
608591	-	2176	operon_start_site	gap_sense	1534	280.13	51	14567	TSS
608719	+	563	operon_start_site	gap_sense	575	28	210	5909	TSS
610125	+	196	operon_start_site	gap_sense	100	3.28	387	1274	TSS
612027	-	108	operon_start_site	gene_sense	320	9.13	248	2273	TSS
612207	+	141	operon_start_site	gap_sense	198	9.59	214	2062	TSS
612911	+	365	operon_start_site	gap_sense	371	8.15	455	3718	TSS
614727	-	146	operon_start_site	gap_sense	125	11.1	80	899	TSS
614838	+	464	operon_start_site	gene_sense_leadless	421	13.39	321	4312	TSS
619754	+	192	operon_start_site	gene_sense	105	7.59	150	1146	TSS
620836	+	105	operon_start_site	gene_sense	86	5.8	161	939	TSS
622300	-	1232	operon_start_site	gap_sense	959	288.24	20	6053	TSS
622332	+	115	operon_start_site	gene_sense_leadless	91	8.75	108	954	TSS
625554	-	70	operon_start_site	gap_sense	64	4.52	168	764	TSS
626443	-	156	operon_start_site	gene_sense_leadless	204	7.75	297	2310	TSS
626445	+	117	operon_start_site	gap_sense	84	10.51	79	841	TSS
629938	+	133	operon_start_site	gap_sense	109	3.44	410	1412	TSS
629967	-	64	operon_start_site	gap_sense	36	1.25	3269	4098	 
635927	-	508	operon_start_site	gap_sense	438	14.53	298	4343	TSS
637545	-	1294	operon_start_site	gap_sense	1759	10.77	1088	11730	TSS
637972	-	197	operon_start_site	gene_sense_leadless	155	6.8	246	1679	TSS
638919	-	166	operon_start_site	gene_sense_leadless	148	13.41	108	1462	TSS
639982	-	446	operon_start_site	gap_sense	300	10.16	314	3200	TSS
640864	-	371	operon_start_site	gene_sense	273	60.95	20	1280	TSS
642814	-	59	operon_start_site	gene_sense_leadless	37	21.27	14	319	TSS
642892	+	75	operon_start_site	gene_sense_leadless	33	3.4	119	408	TSS
644403	+	68	operon_start_site	gene_sense	49	7.4	72	540	TSS
645470	+	186	operon_start_site	gene_sense_leadless	118	38.71	30	1200	TSS
646301	+	317	operon_start_site	gene_sense_leadless	259	11.13	249	2782	TSS
649692	+	280	operon_start_site	gene_sense_leadless	171	15.23	113	1736	TSS
650748	-	1232	operon_start_site	gene_sense_leadless	854	13.43	615	8273	TSS
651459	-	129	operon_start_site	gene_sense	160	63.88	23	1533	TSS
652752	-	89	operon_start_site	gene_sense	98	63.4	14	951	TSS
652774	+	867	operon_start_site	gene_sense_leadless	647	263.67	23	6328	TSS
653840	+	921	operon_start_site	gap_sense	587	9.5	647	6156	TSS
655956	-	118	operon_start_site	gap_sense	66	6.25	70	444	TSS
658075	-	193	operon_start_site	gap_sense	86	3.98	265	1058	TSS
658112	+	29	operon_start_site	gene_sense_leadless	18	11.25	15	180	TSS
659452	+	316	operon_start_site	gap_sense	308	6.4	528	3386	TSS
660987	+	413	operon_start_site	gap_sense	171	20.26	87	1783	TSS
665820	-	345	operon_start_site	gap_sense	325	15.36	206	3179	TSS
668458	-	577	operon_start_site	gap_sense	510	343.36	10	3777	TSS
669840	+	456	operon_start_site	gap_sense	359	19.49	176	3450	TSS
670142	-	58	operon_start_site	gene_antisense	57	25.4	19	508	TSS
676034	-	1754	operon_start_site	gap_sense	1135	70.49	136	9657	TSS
676058	+	268	operon_start_site	gap_sense	196	5.06	463	2348	TSS
677619	-	476	operon_start_site	gene_sense_leadless	286	114.08	23	2738	TSS
677713	+	323	operon_start_site	gene_sense_leadless	188	14.76	130	1934	TSS
678899	+	249	operon_start_site	gene_antisense	173	1.86	1839	3431	TSS
680496	-	194	operon_start_site	gene_antisense	56	29.89	17	538	TSS
684413	+	908	operon_start_site	gene_sense_leadless	585	21.61	268	5813	TSS
685939	+	123	operon_start_site	gene_sense	210	14.71	147	2177	TSS
695488	-	159	operon_start_site	gene_sense_leadless	137	1282	0	1282	TSS
697806	-	746	operon_start_site	gap_sense	448	134.81	20	2831	TSS
700180	+	60	operon_start_site	gap_sense	30	4.5	79	360	TSS
701433	+	242	operon_start_site	gene_sense	292	20.57	142	2942	TSS
703230	+	751	operon_start_site	gap_sense	407	14.32	278	3995	TSS
709524	-	282	operon_start_site	gene_antisense	166	13.65	100	1379	TSS
710339	+	1988	operon_start_site	gene_sense	1770	25.36	700	17775	TSS
710785	+	342	operon_start_site	gene_sense_leadless	223	2.71	1232	3341	TSS
714193	+	263	operon_start_site	gap_sense	122	8.71	151	1324	TSS
716413	+	438	operon_start_site	gene_sense_leadless	387	6.14	714	4388	TSS
717899	-	78	operon_start_site	gap_sense	92	440.5	1	881	TSS
718016	+	160	operon_start_site	gap_sense	139	6.82	226	1548	TSS
720017	-	277	operon_start_site	gene_sense	147	44.35	30	1375	TSS
729281	-	964	operon_start_site	gene_sense_leadless	608	3.67	2152	7904	TSS
730166	-	147	operon_start_site	gene_sense_leadless	124	9.17	134	1238	TSS
731036	-	347	operon_start_site	gene_sense_leadless	256	1.89	2684	5069	TSS
731155	+	1732	operon_start_site	gene_sense	1367	13.81	988	13661	TSS
731933	+	518	operon_start_site	gene_sense_leadless	331	1.76	3938	6928	TSS
733368	+	3882	operon_start_site	gap_sense	3258	8.91	3707	33056	TSS
737259	-	1115	operon_start_site	gap_sense	387	6.23	665	4151	TSS
738193	-	420	operon_start_site	gap_sense	228	14.75	155	2301	TSS
739252	-	149	operon_start_site	gap_sense	179	5.47	450	2468	TSS
742593	+	86	operon_start_site	gene_antisense	76	17.53	42	754	TSS
748063	+	788	operon_start_site	gap_sense	731	9.59	761	7307	TSS
749970	+	256	operon_start_site	gap_sense	130	16.19	78	1279	TSS
