new_tss	direction	original_average_count
155665	+	64
155739	+	32
155992	+	45
156250	+	165
157828	+	151
158637	+	20
160274	+	267
160867	+	161
161393	+	100
161766	+	731
163306	+	117
163535	+	19
164015	+	25
164402	+	27
164782	+	75
165140	+	74
165292	+	130
166062	+	70
166908	+	785
167570	+	186
169304	+	61
170483	+	2101
171213	+	1463
173229	+	587
174816	+	39
175371	+	32
175679	+	42
176319	+	19
176407	+	37
176701	+	62
177583	+	29
177732	+	47
178183	+	17
178878	+	31
179123	+	32
180463	+	26
180481	+	18
180855	+	24
183315	+	18
183579	+	308
185331	+	36
185497	+	57
186081	+	46
186427	+	24
186718	+	194
187509	+	41
187968	+	37
188025	+	33
189559	+	13
190137	+	31
190605	+	38
191937	+	19
192068	+	29
193115	+	125
193669	+	1965
194916	+	1561
196303	+	36
196461	+	53
196686	+	108
196711	+	198
196733	+	744
200145	+	29
200426	+	47
200580	+	205
202147	+	43
202736	+	41
202947	+	66
205163	+	47
205222	+	184
206061	+	141
206606	+	392
206647	+	1482
207168	+	327
208326	+	327
208616	+	125
208757	+	369
210069	+	38
210607	+	23
210625	+	20
211015	+	69
211323	+	177
214029	+	17
214085	+	243
214967	+	267
216027	+	35
216101	+	51
216679	+	24
217436	+	25
218013	+	491
218709	+	122
219156	+	84
219427	+	1233
221242	+	58
221731	+	60
221817	+	2115
223460	+	39
223578	+	578
224146	+	80
224732	+	49
225492	+	15
229865	+	21
230611	+	28
231600	+	44
233359	+	23
233864	+	55
235113	+	57
235266	+	65
235589	+	18
236259	+	16
236316	+	13
236550	+	80
237725	+	20
241436	+	447
243324	+	39
243384	+	142
244635	+	418
246096	+	24
246894	+	20
247283	+	273
247333	+	400
249020	+	54
249630	+	152
250011	+	50
250314	+	35
251676	+	286
253207	+	49
253884	+	35
254857	+	170
254920	+	53
256160	+	45
257049	+	31
257562	+	36
258903	+	106
258913	+	136
259487	+	16
261403	+	12
261483	+	76
261523	+	64
262619	+	13
262812	+	900
264894	+	25
265565	+	21
266541	+	147
267702	+	59
268662	+	225
273121	+	72
273954	+	41
274397	+	51
274927	+	36
275043	+	34
275193	+	22
276025	+	225
277876	+	856
280859	+	13
280997	+	39
281533	+	82
284119	+	626
285210	+	261
287117	+	28
287186	+	174
288396	+	361
289087	+	705
289115	+	502
292057	+	78
292107	+	70
292134	+	698
293605	+	91
294287	+	40
295688	+	142
295966	+	399
296680	+	22
297374	+	50
297522	+	209
297546	+	142
298918	+	506
299961	+	62
301320	+	20
302037	+	29
302078	+	55
302088	+	22
302853	+	51
302866	+	199
304505	+	38
307933	+	42
307974	+	34
308769	+	119
308923	+	827
309443	+	12
309855	+	182
311317	+	71
312290	+	21
313529	+	13
320338	+	37
322891	+	43
323020	+	161
323317	+	172
324567	+	754
325776	+	109
328443	+	29
329103	+	559
330375	+	629
331650	+	106
331705	+	2090
332721	+	31
333024	+	38
337235	+	72
338204	+	52
339322	+	4587
340998	+	527
341678	+	182
341808	+	299
341954	+	124
341980	+	2567
342022	+	205
342104	+	1591
343834	+	40
345433	+	55
348187	+	62
349556	+	38
349985	+	41
350616	+	26
356317	+	17
357606	+	39
358136	+	46
358627	+	40
360200	+	22
360518	+	32
361211	+	19
361265	+	1371
363252	+	3624
364523	+	837
365932	+	25
367713	+	43
369066	+	21
369692	+	44
369723	+	36
370275	+	31
370311	+	40
371223	+	32
371509	+	40
372897	+	145
373089	+	58
373688	+	32
374344	+	37
375758	+	41
377113	+	377
377931	+	674
379172	+	51
380522	+	574
382471	+	1539
383608	+	392
386304	+	65
387083	+	88
387888	+	95
388582	+	222
389443	+	32
390340	+	208
391312	+	85
392070	+	32
393431	+	30
393524	+	24
394111	+	261
395305	+	39
396168	+	122
397472	+	152
398254	+	217
399291	+	20
399550	+	47
400168	+	105
400695	+	295
403787	+	66
405143	+	28
405467	+	25
405983	+	45
407197	+	25
408424	+	155
408596	+	283
409311	+	2141
410874	+	82
412293	+	270
412695	+	207
413380	+	35
414271	+	34
414772	+	30
415044	+	176
417092	+	27
417462	+	24
417487	+	74
417543	+	47
418254	+	56
418842	+	97
419713	+	718
419779	+	881
422404	+	360
423411	+	26
423584	+	28
423744	+	54
424168	+	377
424645	+	94
427019	+	51
427830	+	32
427846	+	27
427999	+	188
429440	+	26
430232	+	18
431507	+	49
432524	+	24
433203	+	41
434380	+	22
434684	+	21
434970	+	124
435060	+	182
436114	+	26
436152	+	23
436820	+	28
436843	+	26
437296	+	26
437519	+	92
438735	+	30
438791	+	468
439808	+	69
440775	+	32
442069	+	24
442396	+	534
447791	+	88
448842	+	12
454163	+	59
454421	+	69
455457	+	17
455978	+	828
457027	+	424
458918	+	101
459868	+	31
461302	+	25
462134	+	111
462674	+	103
463395	+	109
463607	+	330
465219	+	26
467691	+	24
468298	+	43
468962	+	18
469594	+	239
470806	+	29
474605	+	36
475547	+	20
476361	+	1553
479792	+	136
480758	+	41
480911	+	38
481066	+	103
481627	+	55
482288	+	93
482427	+	115
482933	+	44
483280	+	72
483757	+	97
483833	+	207
484426	+	30
484500	+	49
486978	+	159
490786	+	206
494749	+	70
495557	+	84
497635	+	16
498163	+	46
498323	+	84
498507	+	389
499749	+	314
501054	+	211
502882	+	17
503416	+	20
503498	+	389
505054	+	318
505470	+	160
505652	+	85
510453	+	133
511050	+	29
511702	+	77
513153	+	28
514819	+	31
515885	+	36
516087	+	28
518663	+	1499
519096	+	227
519603	+	1019
520992	+	59
521678	+	36
522733	+	29
524724	+	34
526145	+	241
527838	+	16
528295	+	13
528429	+	873
529706	+	73
530312	+	18
530490	+	1080
532399	+	334
532758	+	744
533793	+	29
534324	+	59
535523	+	31
535646	+	33
536568	+	111
538342	+	44
539046	+	14
539140	+	16
540230	+	314
541226	+	33
542121	+	33
542163	+	462
542970	+	22
543896	+	18
545684	+	96
546346	+	68
548364	+	30
549113	+	122
549647	+	235
549687	+	28
551713	+	667
552324	+	106
552617	+	832
554328	+	70
556408	+	1285
557439	+	824
558827	+	116
559713	+	38
559831	+	82
559864	+	328
560863	+	25
563432	+	33
563546	+	40
563570	+	289
564723	+	75
564991	+	466
565787	+	51
566225	+	114
566487	+	1686
568135	+	32
568356	+	131
569356	+	37
570542	+	51
570839	+	75
570998	+	30
571755	+	1075
573840	+	1346
574733	+	87
575360	+	485
575959	+	16
576837	+	32
577172	+	38
577633	+	36
577744	+	49
578401	+	34
578429	+	438
579293	+	608
579352	+	648
583577	+	71
584706	+	35
586113	+	43
586349	+	153
586723	+	649
587104	+	305
588288	+	32
589192	+	33
589443	+	15
589899	+	113
590098	+	489
591044	+	4090
591450	+	3028
592717	+	3138
593400	+	36
594237	+	45
594981	+	36
596629	+	40
596658	+	375
598423	+	44
599851	+	134
600400	+	1089
601357	+	153
602298	+	1984
603105	+	78
605467	+	40
605489	+	33
605523	+	114
606530	+	103
607057	+	300
608544	+	19
608719	+	563
609830	+	56
610125	+	196
612175	+	26
612207	+	141
612911	+	365
614605	+	24
614838	+	464
619754	+	192
620836	+	105
622332	+	115
624995	+	20
625028	+	37
626445	+	117
626478	+	32
627693	+	35
628768	+	26
629839	+	42
629938	+	133
631722	+	34
634582	+	30
635897	+	35
635946	+	30
636748	+	50
636975	+	40
637759	+	47
638475	+	24
641059	+	14
642149	+	36
642187	+	29
642873	+	28
642892	+	75
643085	+	27
644403	+	68
645470	+	186
646301	+	317
647496	+	47
647710	+	68
648160	+	52
648548	+	49
648867	+	443
649692	+	280
650188	+	59
652774	+	867
653840	+	921
655134	+	16
656458	+	50
657041	+	36
658112	+	29
658280	+	52
658390	+	70
659347	+	26
659452	+	316
660232	+	252
660987	+	413
661059	+	16
662473	+	79
665579	+	27
665596	+	51
666554	+	46
668332	+	26
668462	+	75
669840	+	456
670931	+	31
671654	+	18
676003	+	37
676058	+	268
676241	+	209
676475	+	195
677713	+	323
678588	+	176
678899	+	249
680217	+	35
681667	+	58
681873	+	41
684413	+	908
685939	+	123
687457	+	39
689241	+	24
690567	+	25
692318	+	23
693284	+	27
693860	+	79
694069	+	105
695487	+	61
695805	+	81
696339	+	93
697821	+	56
700180	+	60
700881	+	42
701433	+	242
703016	+	14
703230	+	751
704191	+	88
706078	+	413
706575	+	23
710339	+	1988
710785	+	342
711641	+	36
714193	+	263
715947	+	22
715988	+	35
716394	+	59
716413	+	438
718016	+	160
724231	+	109
726869	+	42
728530	+	147
729239	+	44
731155	+	1732
731933	+	518
733368	+	3882
734107	+	263
735518	+	48
736718	+	20
736927	+	40
737094	+	34
737746	+	31
739264	+	20
740003	+	339
740615	+	37
742593	+	86
748063	+	788
749545	+	94
749970	+	256
751165	+	31
751261	+	34
751539	+	4225
753643	+	40
754397	+	32
754793	+	31
756038	+	39
756118	+	130
756770	+	841
759483	+	232
759597	+	2670
760745	+	75
767114	+	126
768234	+	46
768997	+	39
769437	+	33
769602	+	42
769795	+	413
770585	+	126
771487	+	187
774504	+	49
774952	+	26
776814	+	45
777656	+	22
778993	+	945
780082	+	31
780590	+	214
780765	+	177
781380	+	1688
781405	+	304
782596	+	38
782885	+	104
784751	+	593
786123	+	552
787067	+	78
787086	+	147
787955	+	160
789573	+	314
789984	+	56
791447	+	72
791716	+	4545
792430	+	125
793655	+	89
794742	+	445
798676	+	158
799021	+	33
800206	+	3923
801373	+	48
805141	+	40
805767	+	21
806304	+	324
808627	+	20
808749	+	135
809898	+	254
810318	+	122
810989	+	80
811231	+	1147
811274	+	88
813390	+	38
813623	+	215
814994	+	34
815733	+	808
818985	+	47
819683	+	74
820273	+	339
821369	+	29
821510	+	45
822911	+	521
823608	+	45
824019	+	212
824718	+	688
825196	+	176
826075	+	40
826992	+	30
827424	+	107
828712	+	34
829182	+	24
829210	+	34
830027	+	185
831381	+	16
831443	+	37
831542	+	166
831577	+	197
832428	+	335
833809	+	29
833878	+	38
835634	+	23
835658	+	104
838378	+	486
840950	+	313
842032	+	463
844434	+	35
846017	+	94
847538	+	27
848114	+	45
848325	+	43
850667	+	158
851551	+	241
851611	+	197
852064	+	243
852615	+	38
852940	+	49
852974	+	29
854303	+	18
855411	+	180
856191	+	64
856699	+	39
856771	+	41
857512	+	97
859504	+	53
860006	+	42
860784	+	46
860872	+	150
862700	+	32
864589	+	106
864816	+	175
865402	+	80
867161	+	21
867456	+	55
868284	+	437
868908	+	107
870000	+	534
871136	+	35
871434	+	86
873088	+	20
873170	+	18
873346	+	262
874187	+	112
874555	+	236
876586	+	16
877226	+	64
877276	+	51
878623	+	126
878736	+	185
879362	+	147
880170	+	26
880345	+	51
880431	+	27
882264	+	26
882457	+	586
883134	+	106
883276	+	474
885396	+	54
885700	+	41
885910	+	41
886083	+	66
886672	+	35
888088	+	41
888648	+	44
889075	+	34
889624	+	31
890317	+	60
891741	+	43
891917	+	67
892740	+	25
893321	+	77
894634	+	260
895784	+	197
898229	+	25
898795	+	1686
899905	+	19
900054	+	14
901638	+	126
902062	+	26
902133	+	1916
903727	+	467
906406	+	222
907459	+	76
909372	+	30
909456	+	93
910035	+	52
910910	+	934
911713	+	45
913646	+	30
914676	+	35
916244	+	36
918157	+	24
918786	+	39
918801	+	33
918823	+	319
919578	+	65
919735	+	53
921938	+	125
922042	+	21
923341	+	84
923732	+	20
923938	+	68
923954	+	60
924877	+	203
924992	+	330
927110	+	33
930547	+	101
930723	+	66
930795	+	93
931407	+	30
932202	+	251
933019	+	46
933885	+	30
934723	+	249
935443	+	41
935554	+	464
937962	+	42
938582	+	27
938665	+	43
939248	+	22
941250	+	113
941465	+	101
941681	+	90
942903	+	66
942980	+	234
943772	+	38
944331	+	1789
945264	+	98
946085	+	20
946540	+	61
947921	+	13
948580	+	23
948646	+	75
948834	+	31
949709	+	17
950329	+	18
950615	+	33
951186	+	303
952228	+	31
952772	+	314
953280	+	355
954528	+	99
955014	+	421
955034	+	408
958072	+	20
959029	+	23
959379	+	17
960457	+	39
962683	+	3430
965526	+	20
965963	+	76
967729	+	188
967821	+	768
967853	+	194
970304	+	25
970458	+	828
971624	+	48
973107	+	13
974014	+	22
976057	+	1105
978312	+	27
978920	+	58
978937	+	136
979643	+	110
980412	+	24
981223	+	35
981357	+	23
982522	+	23
982641	+	100
982728	+	1404
986529	+	39
987057	+	408
990544	+	31
991211	+	26
992911	+	29
993093	+	81
993542	+	21
993804	+	251
995001	+	18
996450	+	50
996997	+	28
999427	+	701
1001311	+	313
1002246	+	27
1002767	+	132
1003516	+	177
1003539	+	279
1004384	+	40
1005437	+	143
1006676	+	40
1006737	+	243
1008210	+	705
1010158	+	55
1011204	+	50
1012241	+	57
1014646	+	696
1015874	+	52
1016240	+	105
1016829	+	46
1019987	+	47
1021272	+	24
1021745	+	29
1022008	+	38
1022032	+	83
1023000	+	37
1023089	+	47
1023228	+	137
1023977	+	24
1024404	+	201
1024879	+	41
1027088	+	41
1027099	+	100
1027456	+	165
1027590	+	367
1034855	+	324
1034871	+	283
1035732	+	83
1037080	+	13
1037151	+	87
1037471	+	31
1038764	+	88
1039289	+	68
1040649	+	260
1041268	+	496
1042251	+	69
1043366	+	38
1044397	+	18
1046113	+	33
1046140	+	162
1047884	+	15
1048907	+	32
1049060	+	464
1050610	+	21
1052533	+	39
1053928	+	82
1054262	+	139
1055283	+	30
1058169	+	16
1058261	+	139
1060053	+	23
1060870	+	17
1061569	+	66
1061622	+	81
1061900	+	1018
1062598	+	51
1063095	+	26
1063576	+	32
1065032	+	16
1065082	+	1508
1066547	+	84
1067191	+	29
1067565	+	121
1068047	+	20
1068218	+	47
1069884	+	161
1071345	+	56
1073309	+	35
1073331	+	318
1074084	+	463
1074135	+	168
1075210	+	29
1077417	+	19
1077958	+	1931
1078549	+	289
1079372	+	39
1081268	+	172
1081745	+	70
1083815	+	22
1086260	+	19
1090332	+	173
1092401	+	16
1094519	+	22
1094822	+	1314
1096221	+	59
1096826	+	808
1097365	+	417
1098535	+	811
1098999	+	372
1099049	+	236
1099730	+	147
1100409	+	44
1100512	+	384
1101206	+	80
1101784	+	121
1104936	+	54
1106712	+	70
1107442	+	51
1107505	+	58
1108510	+	86
1109275	+	320
1109944	+	43
1110127	+	187
1112150	+	34
1112309	+	541
1113329	+	50
1113511	+	124
1113755	+	66
1113865	+	1135
1114695	+	76
1114738	+	202
1115869	+	213
1117189	+	228
1117779	+	38
1118037	+	326
1118997	+	23
1119794	+	30
1120026	+	59
1121742	+	206
1123595	+	1601
1127033	+	35
1127880	+	218
1127959	+	425
1128068	+	33
1129019	+	98
1130159	+	228
1131285	+	38
1131487	+	639
1132958	+	45
1133463	+	135
1134309	+	40
1134720	+	222
1136041	+	19
1136877	+	173
1138129	+	19
1138253	+	455
1138968	+	168
1141289	+	18
1141715	+	52
1142616	+	66
1143703	+	73
1144350	+	18
1144486	+	49
1144509	+	139
1146291	+	39
1146622	+	15
1148084	+	22
1149695	+	256
1150575	+	21
1151730	+	76
1151774	+	29
1153539	+	16
1154327	+	14
1155828	+	37
1156210	+	143
1156776	+	32
1156840	+	35
1157052	+	109
1157448	+	30
1157763	+	28
1157832	+	43
1160361	+	54
1160749	+	20
1161553	+	72
1161712	+	47
1161889	+	158
1162491	+	32
1163701	+	85
1163820	+	84
1163941	+	59
1165728	+	50
1167096	+	108
1168564	+	21
1168944	+	29
1170686	+	65
1171131	+	57
1172121	+	22
1172391	+	75
1174280	+	22
1174690	+	17
1175129	+	68
1175184	+	406
1175668	+	357
1176112	+	220
1176271	+	361
1176570	+	388
1177211	+	137
1177566	+	76
1179220	+	490
1180646	+	160
1182402	+	46
1183471	+	500
1184020	+	70
1187356	+	663
1187751	+	39
1194602	+	27
1195039	+	36
1195166	+	49
1196182	+	2272
1196240	+	5146
1197589	+	32
1200520	+	238
1201474	+	24
1201722	+	336
1202887	+	118
1203272	+	931
1206071	+	17
1206211	+	44
1206460	+	14
1206485	+	111
1206496	+	230
1210172	+	15
1210600	+	388
1211522	+	185
1214686	+	42
1215204	+	64
1215765	+	26
1216431	+	89
1216464	+	82
1217317	+	74
1219204	+	60
1219649	+	35
1220485	+	43
1220543	+	741
1221964	+	8726
1222849	+	310
1223904	+	27
1223991	+	74
1224390	+	592
1225277	+	42
1225923	+	191
1227297	+	33
1228420	+	21
1228745	+	640
1229684	+	70
1230672	+	42
1230785	+	179
1231306	+	129
1233030	+	315
1235004	+	17
1235329	+	31
1236190	+	641
1236787	+	126
1237531	+	38
1238260	+	45
1239387	+	227
1241588	+	38
1241598	+	82
1241608	+	109
1241637	+	757
1242693	+	26
1242708	+	271
1243677	+	669
1245027	+	38
1247134	+	263
1248232	+	30
1249636	+	43
1251852	+	21
1253051	+	27
1254635	+	1175
1257218	+	48
1257330	+	95
1258017	+	44
1261214	+	59
1262160	+	20
1263716	+	36
1264552	+	20
1264614	+	25
1264631	+	28
1265855	+	49
1266935	+	36
1267058	+	44
1267281	+	302
1267846	+	56
1268592	+	40
1269670	+	56
1269941	+	140
1270072	+	119
1272278	+	19
1272332	+	37
1272365	+	59
1274106	+	21
1274160	+	65
1275698	+	29
1276017	+	49
1276035	+	83
1276271	+	81
1276792	+	150
1277867	+	29
1277898	+	514
1278014	+	306
1278560	+	46
1279460	+	23
1279660	+	497
1280750	+	72
1281434	+	531
1282035	+	780
1282311	+	1288
1285054	+	136
1285968	+	25
1286599	+	170
1287129	+	1793
1288203	+	74
1288464	+	56
1288574	+	132
1289638	+	65
1290732	+	48
1291330	+	50
1293689	+	179
1294173	+	79
1295144	+	20
1296141	+	107
1296235	+	79
1297585	+	17
1298187	+	33
1299413	+	40
1299771	+	52
1300168	+	289
1300309	+	150
1300744	+	76
1301231	+	758
1302480	+	22
1302860	+	746
1305070	+	32
1305313	+	35
1306045	+	16
1306561	+	36
1306787	+	153
1307916	+	36
1308606	+	28
1308914	+	2744
1309686	+	56
1311799	+	113
1313571	+	12
1313624	+	261
1313645	+	247
1313661	+	426
1316324	+	470
1317234	+	30
1318558	+	46
1319257	+	29
1319845	+	20
1320007	+	19
1320529	+	35
1321303	+	256
1323209	+	79
1323524	+	22
1324544	+	31
1325023	+	113
1325660	+	38
1326133	+	113
1326559	+	736
1326900	+	1539
1327537	+	416
1329396	+	58
1330259	+	35
1330473	+	1058
1332065	+	12
1332182	+	59
1333937	+	59
1334945	+	827
1335800	+	27
1337164	+	25
1337276	+	27
1338707	+	124
1338896	+	4840
1339971	+	30
1340555	+	29
1340632	+	78
1340989	+	1163
1342605	+	623
1342880	+	95
1343741	+	46
1345266	+	184
1345601	+	183
1348725	+	248
1350011	+	31
1351197	+	126
1351752	+	151
1353163	+	659
1354199	+	5003
1355842	+	211
1356709	+	16
1357680	+	35
1359165	+	1058
1361858	+	12
1362167	+	23
1363110	+	35
1364362	+	227
1364419	+	605
1364482	+	1645
1365315	+	856
1365896	+	100
1367478	+	43
1369071	+	27
1370878	+	49
1371244	+	55
1371796	+	24
1372460	+	1245
1373068	+	56
1374611	+	97
1376279	+	14
1376331	+	36
1376554	+	194
1376914	+	48
1376951	+	136
1376981	+	224
1380617	+	34
1380640	+	143
1380845	+	111
1383189	+	800
1384284	+	153
1386816	+	585
1388429	+	118
1389840	+	17
1390995	+	27
1392021	+	180
1392360	+	138
1393533	+	54
1393776	+	176
1394096	+	89
1395177	+	49
1395534	+	37
1399973	+	97
1400412	+	50
1401529	+	21
1402633	+	18
1403250	+	34
1403866	+	26
1404188	+	13
1404617	+	26
1404649	+	61
1407432	+	65
1408173	+	24
1408191	+	370
1408855	+	85
1410437	+	55
1411900	+	86
1411998	+	1306
1413274	+	23
1413377	+	587
1414734	+	44
1416600	+	20
1417403	+	23
1417534	+	25
1418699	+	71
1419619	+	161
1420039	+	892
1422878	+	30
1423904	+	298
1424032	+	149
1424178	+	764
1426240	+	485
1427498	+	34
1430354	+	21
1430386	+	71
1432589	+	18
1432745	+	39
1434214	+	53
1434973	+	28
1435073	+	180
1436132	+	29
1436171	+	25
1436412	+	12
1436556	+	62
1437267	+	48
1437279	+	172
1437920	+	324
1438915	+	22
1440527	+	213
1440811	+	139
1442779	+	193
1444396	+	34
1444963	+	20
1445409	+	36
1445951	+	38
1446385	+	344
1448886	+	474
1449181	+	207
1450851	+	23
1452790	+	60
1453013	+	2576
1455074	+	243
1455102	+	1577
1456642	+	60
1456762	+	300
1457130	+	878
1457813	+	149
1458319	+	528
1459578	+	396
1459713	+	683
1460215	+	436
1461019	+	42
1461051	+	108
1461663	+	223
1463155	+	39
1464838	+	55
1465281	+	49
1465824	+	37
1467776	+	40
1468141	+	348
1470327	+	593
1471038	+	122
1471586	+	2346
1471663	+	8184
1473663	+	2152
1477399	+	23
1478560	+	87
1480361	+	98
1480856	+	48
1482348	+	23
1482764	+	85
1483043	+	78
1483507	+	73
1483755	+	50
1483921	+	46
1484020	+	100
1484250	+	393
1484988	+	250
1485189	+	92
1485663	+	208
1485797	+	880
1487167	+	1453
1490050	+	33
1490439	+	13
1491070	+	103
1492453	+	23
1492693	+	84
1494570	+	306
1497972	+	19
1500491	+	19
1500667	+	2006
1502116	+	58
1502628	+	131
1503852	+	23
1504045	+	43
1504129	+	267
1504336	+	320
1504886	+	611
1505974	+	569
1506381	+	44
1506597	+	59
1506761	+	262
1507427	+	142
1509014	+	33
1509040	+	450
1509082	+	51
1509193	+	602
1510502	+	92
1510757	+	96
1511766	+	41
1512299	+	28
1512730	+	33
1512756	+	33
1512870	+	382
1513280	+	39
1513539	+	60
1514465	+	22
1514957	+	24
1515275	+	91
1517497	+	124
1518198	+	63
1518734	+	1229
1519887	+	98
1520158	+	87
1520821	+	160
1521424	+	306
1521676	+	146
1521843	+	63
1522443	+	100
1522482	+	459
1523843	+	98
1524216	+	47
1524620	+	460
1525416	+	49
1525642	+	90
1526337	+	44
1530016	+	45
1530214	+	33
1530780	+	72
1531334	+	28
1531354	+	304
1531750	+	47
1534448	+	46
1535432	+	60
1535478	+	63
1535565	+	91
1535584	+	263
1537098	+	38
1537281	+	42
1538426	+	44
1538951	+	90
1539178	+	123
1540191	+	31
1540748	+	33
1540818	+	159
1541010	+	78
1541676	+	31
1542323	+	52
1544137	+	23
1545632	+	96
1545738	+	319
1547134	+	1347
1547605	+	677
1548431	+	218
1549181	+	51
1549307	+	28
1551301	+	18
1552603	+	389
1555212	+	40
1561391	+	1898
1561411	+	429
1563013	+	49
1563867	+	538
1563890	+	1636
1564984	+	61
1565009	+	2378
1566518	+	173
1566671	+	193
1568176	+	64
1569178	+	55
1571026	+	53
1571730	+	23
1572523	+	34
1574765	+	28
1574793	+	37
1576753	+	260
1578555	+	26
1579557	+	68
1579639	+	62
1579938	+	106
1580319	+	29
1580539	+	684
1582172	+	76
1582628	+	60
1583792	+	56
1584514	+	367
1587237	+	99
1587696	+	30
1588501	+	129
1588573	+	157
1589153	+	116
1590236	+	20
1590355	+	550
1591472	+	371
1592370	+	26
1592645	+	311
1593167	+	336
1593508	+	956
1594048	+	108
1595701	+	19
1595776	+	58
1596098	+	71
1596489	+	83
1596716	+	59
1597781	+	261
1599664	+	527
1602429	+	51
1603932	+	36
1603956	+	107
1604832	+	56
1604981	+	57
1606369	+	88
1607352	+	20
1608056	+	112
1608556	+	83
1611409	+	416
1613262	+	976
1615411	+	35
1615514	+	24
1616784	+	55
1617843	+	1008
1619685	+	37
1619785	+	33
1619797	+	251
1621163	+	21
1623499	+	41
1624011	+	12
1624179	+	39
1624515	+	40
1628334	+	41
1628628	+	240
1630369	+	25
1630472	+	59
1632305	+	21
1634784	+	37
1634891	+	51
1634993	+	718
1638230	+	73
1639461	+	112
1639689	+	90
1639992	+	175
1640205	+	44
1640686	+	36
1643691	+	27
1645027	+	348
1646264	+	427
1648024	+	40
1654485	+	28
1655293	+	18
1656930	+	179
1658031	+	106
1658953	+	197
1659376	+	407
1659817	+	442
1660483	+	209
1661859	+	19
1662364	+	48
1662811	+	35
1664981	+	27
1666132	+	26
1666187	+	275
1666926	+	683
1668609	+	16
1669146	+	124
1669220	+	618
1669958	+	55
1671330	+	61
1672476	+	68
1673402	+	83
1673446	+	597
1674603	+	122
1676947	+	578
1677541	+	193
1678558	+	539
1679299	+	48
1680270	+	68
1680494	+	46
1680590	+	60
1680705	+	96
1681863	+	147
1682100	+	117
1684921	+	117
1685290	+	110
1685772	+	61
1686316	+	175
1687586	+	20
1687787	+	28
1687889	+	53
1687947	+	1297
1689358	+	25
1690107	+	32
1690694	+	41
1690820	+	120
1690836	+	111
1692038	+	54
1692652	+	572
1693731	+	47
1694308	+	34
1694811	+	110
1695430	+	54
1695440	+	20
1696846	+	31
1696864	+	40
1697606	+	47
1698050	+	45
1698123	+	46
1699308	+	38
1699814	+	186
1700344	+	69
1701058	+	31
1701655	+	32
1702740	+	36
1703027	+	527
1704009	+	51
1704904	+	22
1706494	+	58
1707426	+	44
1707952	+	20
1708876	+	31
1709545	+	62
1710712	+	387
1711051	+	68
1711356	+	54
1711573	+	121
1711680	+	51
1712314	+	517
1714891	+	25
1714961	+	38
1717585	+	24
1717917	+	142
1720038	+	36
1721148	+	74
1721464	+	56
1722299	+	149
1723846	+	49
1725061	+	66
1725130	+	90
1726053	+	30
1726286	+	22
1727216	+	99
1728582	+	23
1729185	+	41
1729500	+	259
1729508	+	117
1730557	+	19
1731379	+	76
1732438	+	123
1732926	+	35
1733167	+	32
1733582	+	43
1733616	+	490
1735102	+	54
1735514	+	11993
1736296	+	1973
1738645	+	51
1738700	+	27
1739847	+	31
