TU_name	TU_start_site	TU_end_site	Length	TU_Direction	Coding_start	Coding_end	Include_essential_gene_or_not	Included_gene_number	leaderless_gene_check	included_genes	TSS_peak	TSS_extention_end	elongation_check_start_site	elongation_check_end_site	elongation_check_length	Selected_for_coding_TU_or_not	initial_expression	elongation_ratio(PF)
TU_110	209680	210815	1135	-	209701	210810	NS	non_leaderless	1	RVBD_0179c	210815	210566	210565	209701	865	selected	458.32	0.27
TU_111	210825	212270	1445	-	210890	212248	NS	non_leaderless	1	RVBD_0180c	212270	211827	211826	210890	937	selected	101.38	0.55
TU_112	212280	214138	1858	-	212275	214138	NS	non_leaderless	2	RVBD_0181c:RVBD_0182c	214024	213565	213564	212275	1290	selected	143.94	0.46
TU_113	214085	214957	872	+	214086	214925	NS	non_leaderless	1	RVBD_0183	214085	214347	214482	214925	444	selected	114.62	0.53
TU_114	214967	218378	3411	+	214967	218342	NS	leaderless_TSS	3	RVBD_0184:RVBD_0185:RVBD_0186	214967	215233	215495	218003	2509	selected	121.75	0.89
TU_116	218709	219422	713	+	218703	219365	NS	non_leaderless	1	RVBD_0187	218709	218876	219272	219422	151	selected	132	0.95
TU_118	219925	221721	1796	-	219994	221721	ES	leaderless_TSS	1	RVBD_0189c	221721	221299	221298	220063	1236	selected	133.01	0.34
TU_119	221817	223568	1751	+	221869	223528	NS	non_leaderless	2	RVBD_0190:RVBD_0191	221817	222125	222233	223528	1296	selected	1147.87	0.07
TU_120	223578	224712	1134	+	223562	223907	NS	non_leaderless	1	RVBD_0192A	223578	223743	223864	224712	849	selected	168.91	0.67
TU_121	224590	226569	1979	-	224722	226569	NS	non_leaderless	1	RVBD_0193c	226621	226189	226188	225026	1163	selected	17.9	0.38
TU_122	226876	234502	7626	+	226876	234475	NS	non_leaderless	4	RVBD_0194:RVBD_0195:RVBD_0196:RVBD_0197	226876	227126	227177	233854	6678	selected	4.58	1.68
TU_123	234485	236507	2022	-	234516	236507	NS	leaderless_TSS	1	RVBD_0198c	236507	236232	236231	234516	1716	selected	182.38	0.71
TU_124	236550	237882	1332	+	236550	237895	NS	leaderless_TSS	2	RVBD_0199:RVBD_0200	236550	236858	237072	237895	824	selected	36.99	1.69
TU_125	237905	241335	3430	-	237892	241292	NS	non_leaderless	2	RVBD_0201c:RVBD_0202c	241335	240934	240933	238907	2027	selected	258.82	0.18
TU_127	241934	243214	1280	-	241976	243214	NS	leaderless_TSS	1	RVBD_0204c	243214	242745	242744	241976	769	selected	319.7	0.29
TU_128	243384	244474	1090	+	243384	244487	NS	leaderless_TSS	1	RVBD_0205	243384	243601	243705	244487	783	selected	70.38	0.55
TU_129	244497	247525	3028	-	244484	247318	ES	non_leaderless	1	RVBD_0206c	247525	247088	247087	244484	2604	selected	628.43	0.25
TU_130	247535	248888	1353	-	247384	248906	NS	non_leaderless	2	RVBD_0207c:RVBD_0208c	248888	248561	248560	247535	1026	selected	135.63	0.73
TU_132	249630	251671	2041	+	250120	251598	NS	non_leaderless	1	RVBD_0210	249630	249874	249949	251598	1650	selected	76.78	0.29
TU_133	251676	253659	1983	+	251782	253602	NS	non_leaderless	1	RVBD_0211	251676	251958	252221	253602	1382	selected	369.42	1.09
TU_134	253612	254666	1054	-	253669	254640	NS	non_leaderless	1	RVBD_0212c	254666	254325	254324	253669	656	selected	97.21	0.19
TU_135	254676	256070	1394	-	254637	255950	NS	non_leaderless	1	RVBD_0213c	256070	255499	255498	254676	823	selected	13.37	0.89
TU_136	256064	257773	1709	+	256064	257677	NS	non_leaderless	1	RVBD_0214	256160	256646	256647	257677	1031	selected	10.39	0.8
TU_137	257687	258884	1197	-	257783	258856	NS	non_leaderless	1	RVBD_0215c	258884	258449	258448	258049	400	selected	27.11	0.45
TU_138	258913	259913	1000	+	258913	259926	NS	leaderless_TSS	1	RVBD_0216	258913	259115	259262	259926	665	selected	107.22	0.23
TU_139	259936	260831	895	-	259923	260831	NS	leaderless_TSS	1	RVBD_0217c	260831	260483	260482	259923	560	selected	23.64	0.45
TU_141	261483	262802	1319	+	262254	262802	NS	non_leaderless	1	RVBD_0219	261483	261733	261802	262802	1001	selected	61.95	0.06
TU_142	262812	266291	3479	+	262812	266295	NS	leaderless_TSS	3	RVBD_0220:RVBD_0221:RVBD_0222	262812	263060	263206	266295	3090	selected	150.33	0.42
TU_143	266305	268631	2326	-	266301	268627	ES	non_leaderless	2	RVBD_0223c:RVBD_0224c	268631	268217	268216	266301	1916	selected	67.42	0.19
TU_144	268662	269824	1162	+	268663	269817	ES	leaderless_TSS	1	RVBD_0225	268662	268875	268995	269817	823	selected	95.08	0.65
TU_145	269827	273041	3214	-	269834	272839	ES	non_leaderless	2	RVBD_0226c:RVBD_0227c	273041	272616	272615	269834	2782	selected	358.54	0.18
TU_146	273055	274296	1241	+	273055	274278	ES	non_leaderless	1	RVBD_0228	273121	273341	273494	274278	785	selected	62.73	0.44
TU_148	274914	275963	1049	-	274983	275963	NS	leaderless_TSS	1	RVBD_0230c	275963	275560	275559	274983	577	selected	55.91	0.77
TU_149	276025	277871	1846	+	276058	277764	NS	non_leaderless	1	RVBD_0231	276025	276333	276586	277764	1179	selected	59.62	0.55
TU_150	277876	279591	1715	+	277899	279529	NS	non_leaderless	2	RVBD_0232:RVBD_0233	277876	278094	278198	279529	1332	selected	144.07	0.45
TU_151	279572	287108	7536	-	279605	287071	ES	non_leaderless	4	RVBD_0234c:RVBD_0235c:RVBD_0236c:RVBD_0236A	287108	286817	286816	281027	5790	selected	700.49	0.03
TU_152	287186	288391	1205	+	287186	288352	NS	leaderless_TSS	1	RVBD_0237	287186	287458	287602	288352	751	selected	100.81	0.62
TU_155	289792	292086	2294	-	289812	292029	NS	non_leaderless	2	RVBD_0241c:RVBD_0242c	292086	291663	291662	289812	1851	selected	272.07	0.38
TU_156	292134	293720	1586	+	292171	293493	NS	non_leaderless	1	RVBD_0243	292134	292384	292508	293493	986	selected	309.83	0.87
TU_157	293714	295712	1998	-	293798	295633	NS	non_leaderless	1	RVBD_0244c	295712	295264	295263	293798	1466	selected	227.1	0.9
TU_158	295966	298106	2140	+	296005	298119	NS	non_leaderless	2	RVBD_0245:RVBD_0246	295966	296216	296333	297512	1180	selected	260.81	0.1
TU_159	298129	301683	3554	-	298116	301655	NS	non_leaderless	3	RVBD_0247c:RVBD_0248c:RVBD_0249c	301683	301235	301234	298116	3119	selected	341.71	0.46
TU_162	302866	305815	2949	+	302866	305809	NS	leaderless_TSS	2	RVBD_0252:RVBD_0253	302866	303088	303236	305809	2574	selected	150.95	0.3
TU_164	306359	309839	3480	-	306374	309547	NS	non_leaderless	2	RVBD_0255c:RVBD_0256c	309839	309458	309457	306374	3084	selected	180.38	0.16
TU_167	310759	314854	4095	-	310774	314854	NS	leaderless_TSS	4	RVBD_0259c:RVBD_0260c:RVBD_0261c:RVBD_0262c	314854	314479	314478	310774	3705	selected	118.64	0.05
TU_168	314864	316439	1575	-	314864	316415	NS	non_leaderless	2	RVBD_0263c:RVBD_0264c	316439	315991	315990	314864	1127	selected	92.33	0.51
TU_169	316449	317951	1502	-	316511	317503	NS	leaderless_TSS	1	RVBD_0265c	317951	317622	317621	317513	109	selected	282.22	0
TU_170	317961	321350	3389	-	317525	321154	NS	non_leaderless	1	RVBD_0266c	321350	320951	320950	318147	2804	selected	98.92	0.18
TU_171	321331	322754	1423	+	321331	322722	NS	non_leaderless	1	RVBD_0267	321331	321581	321881	322722	842	selected	0.01	0.42
TU_173	323291	324525	1234	-	323338	324531	NS	non_leaderless	1	RVBD_0269c	324525	324126	324125	323309	817	selected	37.77	0.35
TU_174	324567	326256	1689	+	324567	326249	NS	leaderless_TSS	1	RVBD_0270	324567	324868	325003	326249	1247	selected	235.94	0.99
TU_175	326259	328499	2240	-	326266	328461	NS	non_leaderless	1	RVBD_0271c	328499	328166	328165	326266	1900	selected	202.38	0.58
TU_176	328509	329719	1210	-	328575	329708	NS	non_leaderless	1	RVBD_0272c	329719	329413	329412	328575	838	selected	87.46	0.37
TU_180	331705	332698	993	+	331748	332668	NS	non_leaderless	1	RVBD_0276	331705	331931	332022	332668	647	selected	1240.52	0.22
TU_181	332678	333421	743	-	332708	333333	NS	non_leaderless	2	RVBD_0277c:RVBD_0277Ac	333421	333078	333077	332708	370	selected	1461.67	0.07
TU_182	333431	338182	4751	-	333437	336310	NS	non_leaderless	1	RVBD_0278c	338182	337853	337852	333437	4416	selected	42.12	0.37
TU_183	338192	339143	951	-	336560	339073	NS	non_leaderless	1	RVBD_0279c	339143	338836	338835	338192	644	selected	70.89	0.33
TU_184	339322	340988	1666	+	339364	340974	NS	non_leaderless	1	RVBD_0280	339322	339556	339710	340974	1265	selected	151.31	0.26
TU_185	340998	341949	951	+	340998	341906	NS	leaderless_TSS	1	RVBD_0281	340998	341276	341410	341668	259	selected	191.23	0.52
TU_186	342104	356852	14748	+	342130	356875	ES	non_leaderless	11	RVBD_0282:RVBD_0283:RVBD_0284:RVBD_0285:RVBD_0286:RVBD_0287:RVBD_0288:RVBD_0289:RVBD_0290:RVBD_0291:RVBD_0292	342104	342354	342450	356875	14426	selected	2866.94	0.11
TU_187	356885	358074	1189	-	356862	358064	NS	non_leaderless	1	RVBD_0293c	358074	357712	357711	356862	850	selected	222.68	0.48
TU_188	358171	358935	764	+	358171	358956	NS	non_leaderless	1	RVBD_0294	358136	358461	358462	358956	495	selected	29.52	0.24
TU_189	358966	359748	782	-	358945	359748	NS	leaderless_TSS	1	RVBD_0295c	359748	359375	359374	358945	430	selected	113.26	0.58
TU_190	359758	361200	1442	-	359758	361155	NS	non_leaderless	1	RVBD_0296c	361200	360780	360779	359758	1022	selected	217	0.19
TU_191	361265	363242	1977	+	361334	363109	NS	non_leaderless	1	RVBD_0297	361265	361476	361543	363109	1567	selected	835.1	0.04
TU_192	363252	364518	1266	+	363252	364469	NS	leaderless_TSS	4	RVBD_0298:RVBD_0299:RVBD_0300:RVBD_0301	363252	363557	363742	364469	728	selected	1891.7	0.24
TU_193	364523	366140	1617	+	364605	366142	NS	non_leaderless	2	RVBD_0302:RVBD_0303	364523	364808	364914	366142	1229	selected	531.94	0.06
TU_194	366152	373788	7636	-	366150	372764	NS	non_leaderless	1	RVBD_0304c	373788	373539	373538	366150	7389	selected	6.57	0.46
TU_195	373798	375749	1951	-	372820	375711	NS	non_leaderless	1	RVBD_0305c	375749	375417	375416	373798	1619	selected	129.59	0.03
TU_198	377113	377921	808	+	377113	377829	NS	leaderless_TSS	1	RVBD_0308	377113	377407	377589	377829	241	selected	316.47	0.39
TU_199	377931	378647	716	+	377931	378587	NS	leaderless_TSS	1	RVBD_0309	377931	378222	378345	378587	243	selected	542.6	0.37
TU_201	379172	380517	1345	+	379172	380401	NS	leaderless_TSS	1	RVBD_0311	379172	379489	379490	380401	912	selected	23.43	0.29
TU_202	380522	382466	1944	+	380556	382418	NS	non_leaderless	1	RVBD_0312	380522	380758	380930	382418	1489	selected	161.22	0.3
TU_205	383608	385163	1555	+	383602	385149	NS	non_leaderless	2	RVBD_0315:RVBD_0316	383608	383933	384134	385149	1016	selected	214.68	0.52
TU_206	385159	385967	808	-	385173	385943	NS	non_leaderless	1	RVBD_0317c	385967	385591	385590	385173	418	selected	196.47	0.3
TU_208	386292	387073	781	-	386305	387099	NS	non_leaderless	1	RVBD_0318c	387073	386677	386676	386305	372	selected	39.81	0.43
TU_209	387083	387878	795	+	387148	387816	NS	non_leaderless	1	RVBD_0319	387083	387395	387513	387816	304	selected	31.91	0.44
TU_211	388582	390570	1988	+	388582	390591	NS	leaderless_TSS	2	RVBD_0321:RVBD_0322	388582	388815	388990	390330	1341	selected	102.21	0.17
TU_212	390601	391361	760	-	390580	391251	NS	non_leaderless	1	RVBD_0323c	391361	390910	390909	390580	330	selected	54.42	0.39
TU_213	391312	392686	1374	+	391352	392728	NS	non_leaderless	3	RVBD_0324:RVBD_0325:RVBD_0326	391312	391551	391804	392728	925	selected	45.36	0.65
TU_214	392738	394045	1307	-	392696	394045	NS	non_leaderless	1	RVBD_0327c	394080	393731	393730	392696	1035	selected	3.98	0.15
TU_216	394723	396091	1368	-	394694	396087	NS	non_leaderless	2	RVBD_0329c:RVBD_0330c	396091	395740	395739	394694	1046	selected	29.83	0.09
TU_217	396168	397462	1294	+	396201	397367	NS	non_leaderless	1	RVBD_0331	396168	396415	396671	397367	697	selected	28.36	0.58
TU_218	397472	398244	772	+	397442	398227	NS	non_leaderless	1	RVBD_0332	397472	397658	397867	398227	361	selected	110.11	0.45
TU_219	398254	399525	1271	+	398254	399524	ES	leaderless_TSS	2	RVBD_0333:RVBD_0334	398254	398492	398695	399524	830	selected	170.79	0.18
TU_221	400168	401863	1695	+	400192	401703	NS	non_leaderless	1	RVBD_0336	400168	400374	401185	401703	519	selected	91.93	1.7
TU_222	401713	403135	1422	-	401873	403162	ES	non_leaderless	1	RVBD_0337c	403135	402648	402647	401873	775	selected	87.33	0.81
TU_223	403145	405887	2742	-	403193	405841	ES	non_leaderless	1	RVBD_0338c	405887	405492	405491	403193	2299	selected	239.89	0.31
TU_224	405897	408465	2568	-	405950	408448	NS	non_leaderless	1	RVBD_0339c	408465	408200	408199	405950	2250	selected	257.69	0.17
TU_225	408596	409306	710	+	408634	409173	NS	non_leaderless	1	RVBD_0340	408596	408842	408895	409173	279	selected	154.47	0.25
TU_226	409311	414371	5060	+	409362	414238	NS	non_leaderless	3	RVBD_0341:RVBD_0342:RVBD_0343	409311	409649	409792	412283	2492	selected	3751.26	0.35
TU_227	414248	414972	724	-	414381	414941	NS	non_leaderless	1	RVBD_0344c	414972	414645	414644	414381	264	selected	27.11	0.45
TU_229	415470	417026	1556	-	415502	416965	NS	non_leaderless	1	RVBD_0346c	417026	416592	416591	415502	1090	selected	164.19	0.54
TU_230	417304	418244	940	+	417304	418290	ES	non_leaderless	1	RVBD_0347	417487	417737	417951	418244	294	selected	44.2	0.45
TU_232	418842	419708	866	+	418949	419608	NS	non_leaderless	1	RVBD_0349	418842	419033	419182	419608	427	selected	62.14	0.37
