TU_name	TU_start_site	TU_end_site	Length	TU_Direction	Coding_start	Coding_end	Include_essential_gene_or_not	Included_gene_number	leaderless_gene_check	included_genes	TSS_peak	TSS_extention_end	elongation_check_start_site	elongation_check_end_site	elongation_check_length	Selected_for_coding_TU_or_not
TU_45	79483	80232	749	+	79483	80190	NS	non_leaderless	1	RVBD_0071	79483	79733	80116	80232	117	selected
TU_46	80621	83992	3371	+	80621	83980	NS	leaderless_TSS	3	RVBD_0072:RVBD_0073:RVBD_0074	80621	80878	81040	83980	2941	selected
TU_47	84002	85170	1168	+	83993	85165	NS	non_leaderless	1	RVBD_0075	84002	84252	84359	85110	752	selected
TU_48	85175	85560	385	-	85180	85569	NS	non_leaderless	1	RVBD_0076c	85560	85276	85275	85175	101	no
TU_49	85570	86499	929	-	85633	86463	NS	non_leaderless	1	RVBD_0077c	86499	86080	86079	85633	447	selected
TU_50	86459	87195	736	+	86525	87130	NS	non_leaderless	1	RVBD_0078	86459	86709	86834	87130	297	selected
TU_51	87140	88001	861	-	87205	88001	NS	leaderless_TSS	2	RVBD_0078A:RVBD_0078B	88001	87638	87637	87205	433	selected
TU_52	88164	89530	1366	+	88201	89477	NS	non_leaderless	2	RVBD_0079:RVBD_0080	88164	88414	88544	89477	934	selected
TU_53	89535	92193	2658	+	89572	92319	NS	non_leaderless	3	RVBD_0081:RVBD_0082:RVBD_0083	89535	89785	89942	92193	2252	selected
TU_54	92203	99614	7411	+	92325	99247	NS	non_leaderless	7	RVBD_0084:RVBD_0085:RVBD_0086:RVBD_0087:RVBD_0088:RVBD_0089:RVBD_0090	92203	92431	92513	96968	4456	selected
TU_55	99619	102802	3183	+	99681	102865	NS	non_leaderless	2	RVBD_0091:RVBD_0092	99619	99869	99910	101081	1172	selected
TU_56	102875	105212	2337	-	102812	105212	NS	non_leaderless	3	RVBD_0093c:RVBD_0094c:RVBD_0095c	105099	104694	104693	103532	1162	selected
TU_57	105321	117701	12380	+	105321	117536	NS	non_leaderless	6	RVBD_0096:RVBD_0097:RVBD_0098:RVBD_0099:RVBD_0100:RVBD_0101	105264	105514	105514	108284	2771	selected
TU_58	117711	119902	2191	+	117711	119696	ES	leaderless_TSS	1	RVBD_0102	117711	117930	118076	119696	1621	selected
TU_59	119729	122196	2467	-	119912	122170	NS	non_leaderless	1	RVBD_0103c	122196	121773	121772	119912	1861	selected
TU_60	122314	123967	1653	+	122314	123828	NS	leaderless_TSS	1	RVBD_0104	122314	122564	122564	123612	1049	selected
TU_61	123901	124312	411	-	123977	124261	NS	non_leaderless	1	RVBD_0105c	124312	124063	124062	123901	162	no
TU_62	124336	125630	1294	+	124371	125567	NS	non_leaderless	1	RVBD_0106	124336	124586	125112	125567	456	selected
TU_63	125577	131125	5548	-	125640	131101	NS	non_leaderless	2	RVBD_0107c:RVBD_0108c	131125	130737	130736	125640	5097	selected
TU_64	131338	132908	1570	+	131380	132870	NS	non_leaderless	1	RVBD_0109	131338	131588	131641	132870	1230	selected
TU_65	132913	133838	925	+	133018	133767	NS	non_leaderless	1	RVBD_0110	132913	133157	133342	133767	426	selected
TU_66	133843	136136	2293	+	133948	136005	NS	non_leaderless	1	RVBD_0111	133843	134093	134195	136005	1811	selected
TU_67	136141	139700	3559	+	136287	139671	NS	non_leaderless	4	RVBD_0112:RVBD_0113:RVBD_0114:RVBD_0115	136141	136391	136628	139671	3044	selected
TU_68	140109	141052	943	-	140265	141020	NS	non_leaderless	1	RVBD_0116c	141052	140678	140677	140265	413	selected
TU_69	141198	142116	918	+	141198	142142	NS	non_leaderless	1	RVBD_0117	141170	141419	141420	142142	723	selected
TU_70	142152	143874	1722	-	142126	143874	NS	leaderless_TSS	1	RVBD_0118c	143874	143527	143526	142126	1401	selected
TU_71	144005	145615	1610	+	144047	145624	NS	non_leaderless	1	RVBD_0119	144005	144215	144335	145624	1290	selected
TU_72	145634	147831	2197	-	145625	147769	NS	non_leaderless	1	RVBD_0120c	147831	147359	147358	146316	1043	selected
TU_73	147841	148344	503	-	147906	148340	NS	non_leaderless	1	RVBD_0121c	148344	148008	148007	147906	102	no
TU_74	148489	151068	2579	+	148489	150994	NS	non_leaderless	3	RVBD_0122:RVBD_0123:RVBD_0124	148633	148883	149415	150994	1580	selected
TU_75	151073	154693	3620	+	151146	155597	NS	non_leaderless	3	RVBD_0125:RVBD_0126:RVBD_0127	151073	151323	151544	154693	3150	selected
TU_76	154703	156566	1863	+	155665	156444	NS	leaderless_TSS	1	RVBD_0128	154703	154947	155020	155655	636	selected
TU_77	156454	157655	1201	-	156576	157598	NS	non_leaderless	1	RVBD_0129c	157655	157166	157165	156576	590	selected
TU_78	157828	158303	475	+	157845	158300	NS	non_leaderless	1	RVBD_0130	157828	158078	158175	158300	126	no
TU_79	158310	159668	1358	-	158313	159656	NS	non_leaderless	1	RVBD_0131c	159668	159313	159312	158313	1000	selected
TU_80	159678	160780	1102	-	159698	160780	NS	non_leaderless	1	RVBD_0132c	160814	160438	160437	159698	740	selected
TU_81	160867	161714	847	+	160867	161472	NS	leaderless_TSS	1	RVBD_0133	160867	161106	161204	161383	180	selected
TU_82	161766	162632	866	+	161769	162671	NS	leaderless_TSS	1	RVBD_0134	161766	162061	162199	162671	473	selected
TU_83	162681	163314	633	-	162642	163247	NS	non_leaderless	1	RVBD_0135c	163314	162877	162876	162642	235	no
TU_84	163306	164700	1394	+	163364	164689	NS	non_leaderless	1	RVBD_0136	163306	163556	163798	164689	892	selected
TU_85	164699	165269	570	-	164710	165258	NS	non_leaderless	1	RVBD_0137c	165269	164958	164957	164710	248	no
TU_86	165292	166898	1606	+	165321	166847	NS	non_leaderless	2	RVBD_0138:RVBD_0139	165292	165541	165617	166052	436	selected
TU_87	166908	167259	351	+	166908	167288	NS	leaderless_TSS	1	RVBD_0140	166908	167233	167234	167259	26	no
TU_88	167298	167682	384	-	167269	167679	NS	leaderless_TSS	1	RVBD_0141c	167682	167341	167340	167298	43	no
TU_89	167570	168692	1122	+	167709	168635	NS	non_leaderless	1	RVBD_0142	167570	167825	167958	168635	678	selected
TU_90	168645	170180	1535	-	168702	170180	NS	non_leaderless	1	RVBD_0143c	170126	169727	169726	169351	376	selected
TU_91	170282	171203	921	+	170282	171124	NS	non_leaderless	1	RVBD_0144	170483	170754	170974	171124	151	selected
TU_92	171213	173224	2011	+	171213	173141	NS	leaderless_TSS	2	RVBD_0145:RVBD_0146	171213	171502	171649	173141	1493	selected
TU_93	173229	176653	3424	+	173236	176666	NS	non_leaderless	3	RVBD_0147:RVBD_0148:RVBD_0149	173229	173503	173641	176666	3026	selected
TU_94	176676	177596	920	-	176663	176950	NS	non_leaderless	1	RVBD_0150c	177596	177220	177219	176663	557	selected
TU_95	177211	183208	5997	-	177541	183196	NS	non_leaderless	4	RVBD_0151c:RVBD_0152c:RVBD_0153c:RVBD_0154c	183208	182823	182822	177606	5217	selected
TU_96	183579	186483	2904	+	183620	186477	NS	non_leaderless	3	RVBD_0155:RVBD_0156:RVBD_0157	183579	183861	183997	186477	2481	selected
TU_97	186487	186649	162	-	186493	186621	NS	non_leaderless	1	RVBD_0157A	186649	186450	186449	186487	-37	no
TU_98	186718	187421	703	+	186783	187427	NS	non_leaderless	1	RVBD_0158	186718	186983	187202	187427	226	selected
TU_99	187437	188862	1425	-	187431	188837	NS	non_leaderless	1	RVBD_0159c	188862	188506	188505	187431	1075	selected
TU_100	188872	190437	1565	-	188929	190437	NS	non_leaderless	1	RVBD_0160c	190512	190090	190089	188929	1161	selected
TU_101	190605	191972	1367	+	190605	191954	NS	leaderless_TSS	1	RVBD_0161	190605	191139	191140	191954	815	selected
TU_102	191964	193133	1169	-	191982	193133	NS	non_leaderless	1	RVBD_0162c	193101	192493	192492	191982	511	selected
TU_103	193115	193659	544	+	193115	193570	NS	leaderless_TSS	1	RVBD_0163	193115	193303	193505	193659	155	no
TU_104	193669	194132	463	+	193624	194109	ES	non_leaderless	1	RVBD_0164	193669	194050	194051	194132	82	no
TU_105	194119	194929	810	-	194142	194813	NS	non_leaderless	1	RVBD_0165c	194929	194579	194578	194142	437	selected
TU_106	194916	196681	1765	+	194991	196655	NS	non_leaderless	1	RVBD_0166	194916	195197	195336	196451	1116	selected
TU_107	196733	206637	9904	+	196859	206776	NS	non_leaderless	8	RVBD_0167:RVBD_0168:RVBD_0169:RVBD_0170:RVBD_0171:RVBD_0172:RVBD_0173:RVBD_0174	196733	197005	197162	206051	8890	selected
TU_108	206647	208316	1669	+	206812	208418	NS	non_leaderless	2	RVBD_0175:RVBD_0176	206647	206934	207036	208316	1281	selected
TU_109	208326	209691	1365	+	208415	209670	NS	non_leaderless	2	RVBD_0177:RVBD_0178	208326	208523	209076	209670	595	selected
TU_110	209680	210815	1135	-	209701	210810	NS	non_leaderless	1	RVBD_0179c	210815	210566	210565	209701	865	selected
TU_111	210825	212270	1445	-	210890	212248	NS	non_leaderless	1	RVBD_0180c	212270	211827	211826	210890	937	selected
TU_112	212280	214138	1858	-	212275	214138	NS	non_leaderless	2	RVBD_0181c:RVBD_0182c	214024	213565	213564	212275	1290	selected
TU_113	214085	214957	872	+	214086	214925	NS	non_leaderless	1	RVBD_0183	214085	214347	214482	214925	444	selected
TU_114	214967	218378	3411	+	214967	218342	NS	leaderless_TSS	3	RVBD_0184:RVBD_0185:RVBD_0186	214967	215233	215495	218003	2509	selected
TU_115	218352	218607	255	-	218388	218549	NS	non_leaderless	1	RVBD_0186Ac	218607	218358	218357	218352	6	no
TU_116	218709	219422	713	+	218703	219365	NS	non_leaderless	1	RVBD_0187	218709	218876	219272	219422	151	selected
TU_117	219427	219984	557	+	219484	219915	NS	non_leaderless	1	RVBD_0188	219427	219677	219980	219984	5	no
TU_118	219925	221721	1796	-	219994	221721	ES	leaderless_TSS	1	RVBD_0189c	221721	221299	221298	220063	1236	selected
TU_119	221817	223568	1751	+	221869	223528	NS	non_leaderless	2	RVBD_0190:RVBD_0191	221817	222125	222233	223528	1296	selected
TU_120	223578	224712	1134	+	223562	223907	NS	non_leaderless	1	RVBD_0192A	223578	223743	223864	224712	849	selected
TU_121	224590	226569	1979	-	224722	226569	NS	non_leaderless	1	RVBD_0193c	226621	226189	226188	225026	1163	selected
TU_122	226876	234502	7626	+	226876	234475	NS	non_leaderless	4	RVBD_0194:RVBD_0195:RVBD_0196:RVBD_0197	226876	227126	227177	233854	6678	selected
TU_123	234485	236507	2022	-	234516	236507	NS	leaderless_TSS	1	RVBD_0198c	236507	236232	236231	234516	1716	selected
TU_124	236550	237882	1332	+	236550	237895	NS	leaderless_TSS	2	RVBD_0199:RVBD_0200	236550	236858	237072	237895	824	selected
TU_125	237905	241335	3430	-	237892	241292	NS	non_leaderless	2	RVBD_0201c:RVBD_0202c	241335	240934	240933	238907	2027	selected
TU_126	241436	241966	530	+	241514	241924	NS	non_leaderless	1	RVBD_0203	241436	241762	241839	241966	128	no
TU_127	241934	243214	1280	-	241976	243214	NS	leaderless_TSS	1	RVBD_0204c	243214	242745	242744	241976	769	selected
TU_128	243384	244474	1090	+	243384	244487	NS	leaderless_TSS	1	RVBD_0205	243384	243601	243705	244487	783	selected
TU_129	244497	247525	3028	-	244484	247318	ES	non_leaderless	1	RVBD_0206c	247525	247088	247087	244484	2604	selected
TU_130	247535	248888	1353	-	247384	248906	NS	non_leaderless	2	RVBD_0207c:RVBD_0208c	248888	248561	248560	247535	1026	selected
TU_131	249020	249620	600	+	249038	250123	NS	non_leaderless	1	RVBD_0209	249020	249270	249353	249620	268	no
TU_132	249630	251671	2041	+	250120	251598	NS	non_leaderless	1	RVBD_0210	249630	249874	249949	251598	1650	selected
TU_133	251676	253659	1983	+	251782	253602	NS	non_leaderless	1	RVBD_0211	251676	251958	252221	253602	1382	selected
TU_134	253612	254666	1054	-	253669	254640	NS	non_leaderless	1	RVBD_0212c	254666	254325	254324	253669	656	selected
TU_135	254676	256070	1394	-	254637	255950	NS	non_leaderless	1	RVBD_0213c	256070	255499	255498	254676	823	selected
TU_136	256064	257773	1709	+	256064	257677	NS	non_leaderless	1	RVBD_0214	256160	256646	256647	257677	1031	selected
TU_137	257687	258884	1197	-	257783	258856	NS	non_leaderless	1	RVBD_0215c	258884	258449	258448	258049	400	selected
TU_138	258913	259913	1000	+	258913	259926	NS	leaderless_TSS	1	RVBD_0216	258913	259115	259262	259926	665	selected
TU_139	259936	260831	895	-	259923	260831	NS	leaderless_TSS	1	RVBD_0217c	260831	260483	260482	259923	560	selected
TU_140	260924	261473	549	+	260924	262252	NS	non_leaderless	1	RVBD_0218	260924	261174	261231	261473	243	no
TU_141	261483	262802	1319	+	262254	262802	NS	non_leaderless	1	RVBD_0219	261483	261733	261802	262802	1001	selected
TU_142	262812	266291	3479	+	262812	266295	NS	leaderless_TSS	3	RVBD_0220:RVBD_0221:RVBD_0222	262812	263060	263206	266295	3090	selected
TU_143	266305	268631	2326	-	266301	268627	ES	non_leaderless	2	RVBD_0223c:RVBD_0224c	268631	268217	268216	266301	1916	selected
TU_144	268662	269824	1162	+	268663	269817	ES	leaderless_TSS	1	RVBD_0225	268662	268875	268995	269817	823	selected
TU_145	269827	273041	3214	-	269834	272839	ES	non_leaderless	2	RVBD_0226c:RVBD_0227c	273041	272616	272615	269834	2782	selected
TU_146	273055	274296	1241	+	273055	274278	ES	non_leaderless	1	RVBD_0228	273121	273341	273494	274278	785	selected
TU_147	274288	274904	616	-	274306	274904	NS	leaderless_TSS	2	RVBD_0229c:RVBD_0229Ac	274904	274566	274565	274306	260	no
TU_148	274914	275963	1049	-	274983	275963	NS	leaderless_TSS	1	RVBD_0230c	275963	275560	275559	274983	577	selected
TU_149	276025	277871	1846	+	276058	277764	NS	non_leaderless	1	RVBD_0231	276025	276333	276586	277764	1179	selected
TU_150	277876	279591	1715	+	277899	279529	NS	non_leaderless	2	RVBD_0232:RVBD_0233	277876	278094	278198	279529	1332	selected
TU_151	279572	287108	7536	-	279605	287071	ES	non_leaderless	4	RVBD_0234c:RVBD_0235c:RVBD_0236c:RVBD_0236A	287108	286817	286816	281027	5790	selected
TU_152	287186	288391	1205	+	287186	288352	NS	leaderless_TSS	1	RVBD_0237	287186	287458	287602	288352	751	selected
TU_153	288396	289082	686	+	288428	289042	NS	non_leaderless	1	RVBD_0238	288396	288636	288802	289042	241	no
TU_154	289115	289802	687	+	289104	289782	NS	non_leaderless	2	RVBD_0239:RVBD_0240	289115	289365	289411	289782	372	no
TU_155	289792	292086	2294	-	289812	292029	NS	non_leaderless	2	RVBD_0241c:RVBD_0242c	292086	291663	291662	289812	1851	selected
TU_156	292134	293720	1586	+	292171	293493	NS	non_leaderless	1	RVBD_0243	292134	292384	292508	293493	986	selected
TU_157	293714	295712	1998	-	293798	295633	NS	non_leaderless	1	RVBD_0244c	295712	295264	295263	293798	1466	selected
TU_158	295966	298106	2140	+	296005	298119	NS	non_leaderless	2	RVBD_0245:RVBD_0246	295966	296216	296333	297512	1180	selected
TU_159	298129	301683	3554	-	298116	301655	NS	non_leaderless	3	RVBD_0247c:RVBD_0248c:RVBD_0249c	301683	301235	301234	298116	3119	selected
TU_160	301693	302054	361	-	301735	302028	NS	non_leaderless	1	RVBD_0250c	302054	301773	301772	301693	80	no
TU_161	302063	302710	647	-	302173	302652	NS	non_leaderless	1	RVBD_0251c	302710	302123	302122	302078	45	no
TU_162	302866	305815	2949	+	302866	305809	NS	leaderless_TSS	2	RVBD_0252:RVBD_0253	302866	303088	303236	305809	2574	selected
TU_163	305819	306349	530	-	305825	306349	NS	leaderless_TSS	1	RVBD_0254c	306349	306026	306025	305825	201	no
TU_164	306359	309839	3480	-	306374	309547	NS	non_leaderless	2	RVBD_0255c:RVBD_0256c	309839	309458	309457	306374	3084	selected
TU_165	309699	310284	585	+	309699	310073	NS	non_leaderless	1	RVBD_0257	309855	310061	310162	310284	123	no
TU_166	310083	310749	666	-	310294	310749	NS	leaderless_TSS	1	RVBD_0258c	310749	310457	310456	310274	183	no
TU_167	310759	314854	4095	-	310774	314854	NS	leaderless_TSS	4	RVBD_0259c:RVBD_0260c:RVBD_0261c:RVBD_0262c	314854	314479	314478	310774	3705	selected
TU_168	314864	316439	1575	-	314864	316415	NS	non_leaderless	2	RVBD_0263c:RVBD_0264c	316439	315991	315990	314864	1127	selected
TU_169	316449	317951	1502	-	316511	317503	NS	leaderless_TSS	1	RVBD_0265c	317951	317622	317621	317513	109	selected
TU_170	317961	321350	3389	-	317525	321154	NS	non_leaderless	1	RVBD_0266c	321350	320951	320950	318147	2804	selected
TU_171	321331	322754	1423	+	321331	322722	NS	non_leaderless	1	RVBD_0267	321331	321581	321881	322722	842	selected
TU_172	322732	323281	549	-	322764	323273	NS	non_leaderless	1	RVBD_0268c	323281	322968	322967	322764	204	no
TU_173	323291	324525	1234	-	323338	324531	NS	non_leaderless	1	RVBD_0269c	324525	324126	324125	323309	817	selected
TU_174	324567	326256	1689	+	324567	326249	NS	leaderless_TSS	1	RVBD_0270	324567	324868	325003	326249	1247	selected
TU_175	326259	328499	2240	-	326266	328461	NS	non_leaderless	1	RVBD_0271c	328499	328166	328165	326266	1900	selected
TU_176	328509	329719	1210	-	328575	329708	NS	non_leaderless	1	RVBD_0272c	329719	329413	329412	328575	838	selected
TU_177	329729	330350	621	-	329705	330325	NS	non_leaderless	1	RVBD_0273c	330350	330049	330048	329729	320	no
TU_178	330375	330923	548	+	330422	331003	NS	non_leaderless	1	RVBD_0274	330375	330502	330625	331003	379	no
TU_179	331013	331693	680	-	330933	331658	NS	non_leaderless	1	RVBD_0275c	331693	331379	331378	330933	446	no
TU_180	331705	332698	993	+	331748	332668	NS	non_leaderless	1	RVBD_0276	331705	331931	332022	332668	647	selected
TU_181	332678	333421	743	-	332708	333333	NS	non_leaderless	2	RVBD_0277c:RVBD_0277Ac	333421	333078	333077	332708	370	selected
TU_182	333431	338182	4751	-	333437	336310	NS	non_leaderless	1	RVBD_0278c	338182	337853	337852	333437	4416	selected
TU_183	338192	339143	951	-	336560	339073	NS	non_leaderless	1	RVBD_0279c	339143	338836	338835	338192	644	selected
TU_184	339322	340988	1666	+	339364	340974	NS	non_leaderless	1	RVBD_0280	339322	339556	339710	340974	1265	selected
TU_185	340998	341949	951	+	340998	341906	NS	leaderless_TSS	1	RVBD_0281	340998	341276	341410	341668	259	selected
TU_186	342104	356852	14748	+	342130	356875	ES	non_leaderless	11	RVBD_0282:RVBD_0283:RVBD_0284:RVBD_0285:RVBD_0286:RVBD_0287:RVBD_0288:RVBD_0289:RVBD_0290:RVBD_0291:RVBD_0292	342104	342354	342450	356875	14426	selected
TU_187	356885	358074	1189	-	356862	358064	NS	non_leaderless	1	RVBD_0293c	358074	357712	357711	356862	850	selected
TU_188	358171	358935	764	+	358171	358956	NS	non_leaderless	1	RVBD_0294	358136	358461	358462	358956	495	selected
TU_189	358966	359748	782	-	358945	359748	NS	leaderless_TSS	1	RVBD_0295c	359748	359375	359374	358945	430	selected
TU_190	359758	361200	1442	-	359758	361155	NS	non_leaderless	1	RVBD_0296c	361200	360780	360779	359758	1022	selected
TU_191	361265	363242	1977	+	361334	363109	NS	non_leaderless	1	RVBD_0297	361265	361476	361543	363109	1567	selected
TU_192	363252	364518	1266	+	363252	364469	NS	leaderless_TSS	4	RVBD_0298:RVBD_0299:RVBD_0300:RVBD_0301	363252	363557	363742	364469	728	selected
TU_193	364523	366140	1617	+	364605	366142	NS	non_leaderless	2	RVBD_0302:RVBD_0303	364523	364808	364914	366142	1229	selected
TU_194	366152	373788	7636	-	366150	372764	NS	non_leaderless	1	RVBD_0304c	373788	373539	373538	366150	7389	selected
TU_195	373798	375749	1951	-	372820	375711	NS	non_leaderless	1	RVBD_0305c	375749	375417	375416	373798	1619	selected
TU_196	375914	376563	649	+	375914	376585	NS	non_leaderless	1	RVBD_0306	375758	376044	376214	376585	372	no
TU_197	376595	377060	465	-	376573	377055	NS	non_leaderless	1	RVBD_0307c	377060	376695	376694	376573	122	no
TU_198	377113	377921	808	+	377113	377829	NS	leaderless_TSS	1	RVBD_0308	377113	377407	377589	377829	241	selected
TU_199	377931	378647	716	+	377931	378587	NS	leaderless_TSS	1	RVBD_0309	377931	378222	378345	378587	243	selected
TU_200	378597	379130	533	-	378657	379148	NS	non_leaderless	1	RVBD_0310c	379130	378799	378798	378657	142	no
TU_201	379172	380517	1345	+	379172	380401	NS	leaderless_TSS	1	RVBD_0311	379172	379489	379490	380401	912	selected
TU_202	380522	382466	1944	+	380556	382418	NS	non_leaderless	1	RVBD_0312	380522	380758	380930	382418	1489	selected
TU_203	382471	382869	398	+	382490	382876	NS	non_leaderless	1	RVBD_0313	382471	382726	382779	382869	91	no
TU_204	382886	383514	628	-	382879	383541	NS	non_leaderless	1	RVBD_0314c	383514	383199	383198	382879	320	no
TU_205	383608	385163	1555	+	383602	385149	NS	non_leaderless	2	RVBD_0315:RVBD_0316	383608	383933	384134	385149	1016	selected
TU_206	385159	385967	808	-	385173	385943	NS	non_leaderless	1	RVBD_0317c	385967	385591	385590	385173	418	selected
TU_207	385962	386282	320	-	386201	386274	NS	non_leaderless	1	RVBD_6003	386282	385987	385986	385977	10	no
TU_208	386292	387073	781	-	386305	387099	NS	non_leaderless	1	RVBD_0318c	387073	386677	386676	386305	372	selected
TU_209	387083	387878	795	+	387148	387816	NS	non_leaderless	1	RVBD_0319	387083	387395	387513	387816	304	selected
TU_210	387888	388572	684	+	387888	388550	NS	leaderless_TSS	1	RVBD_0320	387888	388189	388279	388550	272	no
TU_211	388582	390570	1988	+	388582	390591	NS	leaderless_TSS	2	RVBD_0321:RVBD_0322	388582	388815	388990	390330	1341	selected
TU_212	390601	391361	760	-	390580	391251	NS	non_leaderless	1	RVBD_0323c	391361	390910	390909	390580	330	selected
