sense_transcription_unit_start_site	sense_transcription_unit_end_site	sense_transcription_unit_direction	antisense_transcript_start_site	antisense_transcript_end_site	antisense_transcript_direction	antisense_transcript_end_location_information	antisense_transcript_length(WT_log)
704454	706347	-	706078	706582	+	end_as_asRNA_for_next_TU	504
720027	729281	-	724231	724634	+	end_in_gene	403
720027	729281	-	728530	728872	+	end_in_gene	342
720027	729281	-	729239	729647	+	end_as_asRNA_for_next_TU	408
736238	737259	-	736927	737504	+	end_as_asRNA_for_next_TU	577
739262	742620	-	740003	740463	+	end_in_gene	460
739262	742620	-	742593	742978	+	end_as_asRNA_for_next_TU	385
749254	749932	-	749545	749929	+	end_coding_next_gene	384
775587	778968	-	776814	777359	+	end_in_gene	545
789173	791275	-	789573	789936	+	end_in_gene	363
819672	821479	-	820273	820663	+	end_in_gene	390
823607	824698	-	824019	824432	+	end_in_gene	413
854239	855898	-	855411	855794	+	end_in_gene	383
855908	860713	-	856771	857175	+	end_in_gene	404
855908	860713	-	857512	857876	+	end_in_gene	364
855908	860713	-	859504	859829	+	end_in_gene	325
865867	868342	-	868284	868799	+	end_as_asRNA_for_next_TU	515
872688	873295	-	873088	873295	+	end_coding_next_gene	207
883447	886649	-	886083	886427	+	end_in_gene	344
887037	888665	-	888088	888395	+	end_in_gene	307
908130	909584	-	909456	909852	+	end_as_asRNA_for_next_TU	396
918778	919639	-	918823	919239	+	end_in_gene	416
931610	934034	-	932202	932579	+	end_in_gene	377
931610	934034	-	933019	933525	+	end_in_gene	506
942480	944292	-	942980	943362	+	end_in_gene	382
965804	967756	-	967729	968521	+	end_as_asRNA_for_next_TU	792
993031	993742	-	993093	993438	+	end_in_gene	345
1000780	1002707	-	1001311	1001729	+	end_in_gene	418
1006566	1008294	-	1006737	1007134	+	end_in_gene	397
1016699	1019969	-	1016829	1017167	+	end_in_gene	338
1019979	1021647	-	1019987	1020281	+	end_in_gene	294
1040641	1041168	-	1040649	1041004	+	end_in_gene	355
1055022	1056689	-	1055283	1055836	+	end_in_gene	553
1093158	1094868	-	1094822	1095407	+	end_as_asRNA_for_next_TU	585
1101019	1101534	-	1101206	1101534	+	end_coding_next_gene	328
1106290	1107421	-	1106712	1107095	+	end_in_gene	383
1107431	1108534	-	1107505	1107846	+	end_in_gene	341
1118407	1120005	-	1119794	1120005	+	end_coding_next_gene	211
1134715	1136517	-	1134720	1135203	+	end_in_gene	483
1148264	1151690	-	1149695	1150002	+	end_in_gene	307
1156436	1158742	-	1157832	1158456	+	end_in_gene	624
1160448	1164841	-	1163701	1164383	+	end_in_gene	682
1170685	1172158	-	1170686	1171160	+	end_in_gene	474
1219088	1220191	-	1219204	1219980	+	end_in_gene	776
1225275	1228689	-	1225923	1226317	+	end_in_gene	394
1232841	1234361	-	1233030	1233388	+	end_in_gene	358
1241971	1243509	-	1242708	1243079	+	end_in_gene	371
1264962	1267035	-	1265855	1266240	+	end_in_gene	385
1275965	1279622	-	1276792	1277100	+	end_in_gene	308
1275965	1279622	-	1277898	1278376	+	end_in_gene	478
1280035	1281489	-	1280750	1281142	+	end_in_gene	392
1310467	1313308	-	1311799	1312193	+	end_in_gene	394
1324544	1325692	-	1325023	1325355	+	end_in_gene	332
1325702	1327518	-	1326559	1327313	+	end_in_gene	754
1327528	1329311	-	1327537	1327980	+	end_in_gene	443
1357672	1359450	-	1357680	1358050	+	end_in_gene	370
1357672	1359450	-	1359165	1359544	+	end_as_asRNA_for_next_TU	379
1371704	1372929	-	1372460	1372862	+	end_as_asRNA_for_next_TU	402
1374286	1376832	-	1374611	1375010	+	end_in_gene	399
1387733	1388658	-	1388429	1388828	+	end_as_asRNA_for_next_TU	399
1390161	1393148	-	1390995	1391485	+	end_in_gene	490
1390161	1393148	-	1392360	1393095	+	end_as_asRNA_for_next_TU	735
1393158	1393988	-	1393533	1393849	+	end_coding_next_gene	316
1419867	1422403	-	1420039	1420612	+	end_in_gene	573
1433546	1437143	-	1435073	1435488	+	end_in_gene	415
1477029	1479124	-	1478560	1479051	+	end_as_asRNA_for_next_TU	491
1479134	1480838	-	1480361	1480897	+	end_as_asRNA_for_next_TU	536
1490426	1494482	-	1491070	1491458	+	end_in_gene	388
1519150	1526222	-	1520821	1521278	+	end_in_gene	457
1519150	1526222	-	1522482	1522873	+	end_in_gene	391
1519150	1526222	-	1523843	1524243	+	end_in_gene	400
1519150	1526222	-	1524620	1525220	+	end_in_gene	600
1519150	1526222	-	1525416	1526108	+	end_in_gene	692
1535555	1537718	-	1535584	1536018	+	end_in_gene	434
1541821	1543261	-	1542323	1542836	+	end_in_gene	513
1568055	1570975	-	1568176	1568673	+	end_in_gene	497
1568055	1570975	-	1569178	1569744	+	end_in_gene	566
1586229	1588488	-	1587237	1587909	+	end_in_gene	672
1601053	1604809	-	1602429	1602895	+	end_in_gene	466
1601053	1604809	-	1603956	1604310	+	end_in_gene	354
1616365	1617392	-	1616784	1617179	+	end_in_gene	395
1623704	1628905	-	1624515	1624913	+	end_in_gene	398
1623704	1628905	-	1628628	1629145	+	end_as_asRNA_for_next_TU	517
1639662	1640670	-	1639992	1640584	+	end_coding_next_gene	592
1644386	1646144	-	1645027	1645403	+	end_in_gene	376
1662586	1666103	-	1662811	1663278	+	end_in_gene	467
1672400	1673305	-	1672476	1672879	+	end_in_gene	403
1694894	1697428	-	1694811	1695259	+	end_in_gene	448
1705805	1708658	-	1706494	1706835	+	end_in_gene	341
1705805	1708658	-	1707426	1707750	+	end_in_gene	324
1720818	1729276	-	1721148	1721682	+	end_in_gene	534
1720818	1729276	-	1722299	1722752	+	end_in_gene	453
1720818	1729276	-	1727216	1727591	+	end_in_gene	375
1765399	1773839	-	1766479	1766852	+	end_in_gene	373
1765399	1773839	-	1771049	1771487	+	end_in_gene	438
1782744	1788497	-	1783654	1784202	+	end_in_gene	548
1782744	1788497	-	1785089	1785665	+	end_in_gene	576
1782744	1788497	-	1785790	1786091	+	end_in_gene	301
1782744	1788497	-	1786231	1786666	+	end_in_gene	435
1788507	1789843	-	1788513	1789088	+	end_in_gene	575
1792252	1793899	-	1793760	1794143	+	end_as_asRNA_for_next_TU	383
1820046	1825935	-	1824357	1825015	+	end_in_gene	658
1826593	1827952	-	1827019	1827356	+	end_in_gene	337
1848457	1852042	-	1849251	1849688	+	end_in_gene	437
1848457	1852042	-	1849882	1850337	+	end_in_gene	455
1862270	1865389	-	1862441	1863055	+	end_in_gene	614
1892304	1895354	-	1892934	1893268	+	end_in_gene	334
1896884	1898238	-	1896874	1897276	+	end_in_gene	402
1898248	1900982	-	1899280	1899672	+	end_in_gene	392
1931536	1933139	-	1931702	1932240	+	end_in_gene	538
1933990	1934656	-	1934055	1934484	+	end_coding_next_gene	429
1955013	1955576	-	1955163	1955552	+	end_in_gene	389
1955586	1957364	-	1956775	1957128	+	end_in_gene	353
1960681	1965434	-	1960674	1961054	+	end_in_gene	380
1960681	1965434	-	1962196	1962594	+	end_in_gene	398
1970721	1971998	-	1971534	1972171	+	end_as_asRNA_for_next_TU	637
1998976	1999776	-	1998943	1999582	+	end_in_gene	639
2011977	2012650	-	2011974	2012295	+	end_in_gene	321
2011977	2012650	-	2012646	2013337	+	end_as_asRNA_for_next_TU	691
2012660	2014510	-	2012798	2013153	+	end_in_gene	355
2015279	2017483	-	2015473	2015941	+	end_in_gene	468
2023449	2024699	-	2024077	2024469	+	end_in_gene	392
2046903	2047417	-	2046929	2047324	+	end_in_gene	395
2047427	2048041	-	2047601	2048019	+	end_coding_next_gene	418
2054164	2056334	-	2055240	2055653	+	end_in_gene	413
2054164	2056334	-	2055965	2056446	+	end_as_asRNA_for_next_TU	481
2080713	2087007	-	2080767	2081190	+	end_in_gene	423
2080713	2087007	-	2081561	2081942	+	end_in_gene	381
2080713	2087007	-	2083282	2083687	+	end_in_gene	405
2087130	2087919	-	2087338	2087645	+	end_in_gene	307
2101665	2103094	-	2102873	2103339	+	end_as_asRNA_for_next_TU	466
2197370	2197967	-	2197695	2197967	+	end_coding_next_gene	272
2204723	2205556	-	2204847	2205235	+	end_in_gene	388
2221774	2224157	-	2222367	2222799	+	end_in_gene	432
2232237	2233677	-	2232283	2232689	+	end_in_gene	406
2242894	2243756	-	2242966	2243401	+	end_in_gene	435
2256446	2257950	-	2256619	2257063	+	end_in_gene	444
2270258	2278969	-	2270462	2270925	+	end_in_gene	463
2270258	2278969	-	2277659	2278001	+	end_in_gene	342
2283730	2289254	-	2288955	2289283	+	end_as_asRNA_for_next_TU	328
2291943	2307203	-	2294023	2294317	+	end_in_gene	294
2291943	2307203	-	2300455	2301072	+	end_in_gene	617
2317103	2320761	-	2319464	2319803	+	end_in_gene	339
2324719	2326390	-	2325067	2325447	+	end_in_gene	380
2327519	2330971	-	2329926	2330401	+	end_in_gene	475
2353335	2356685	-	2356321	2356643	+	end_in_gene	322
2391207	2393325	-	2392004	2392413	+	end_in_gene	409
2395258	2397323	-	2397253	2397618	+	end_as_asRNA_for_next_TU	365
2399811	2401735	-	2400382	2400943	+	end_in_gene	561
2424905	2429909	-	2425727	2426052	+	end_in_gene	325
2441738	2443222	-	2442947	2443452	+	end_as_asRNA_for_next_TU	505
2446065	2447577	-	2446075	2446780	+	end_in_gene	705
2446065	2447577	-	2447440	2447755	+	end_as_asRNA_for_next_TU	315
2449980	2453333	-	2450050	2450415	+	end_in_gene	365
2449980	2453333	-	2451052	2451449	+	end_in_gene	397
2501650	2505663	-	2505660	2506075	+	end_as_asRNA_for_next_TU	415
2541410	2544631	-	2542472	2543049	+	end_in_gene	577
2541410	2544631	-	2544391	2544780	+	end_as_asRNA_for_next_TU	389
2554877	2555886	-	2555576	2555886	+	end_coding_next_gene	310
2591860	2594952	-	2592915	2593280	+	end_in_gene	365
2606774	2608367	-	2607021	2607445	+	end_in_gene	424
2617601	2618981	-	2617764	2618089	+	end_in_gene	325
2625823	2626205	-	2625881	2626188	+	end_in_gene	307
2630381	2634180	-	2630411	2631143	+	end_in_gene	732
2630381	2634180	-	2632157	2632803	+	end_in_gene	646
2637392	2639560	-	2637481	2637916	+	end_in_gene	435
2639555	2641128	-	2640298	2640692	+	end_in_gene	394
2642062	2643976	-	2642436	2642934	+	end_in_gene	498
2656176	2660329	-	2659603	2659958	+	end_in_gene	355
2683207	2684323	-	2684005	2684302	+	end_in_gene	297
2693904	2697724	-	2695867	2696397	+	end_in_gene	530
2700477	2703258	-	2703246	2703762	+	end_as_asRNA_for_next_TU	516
2716516	2718842	-	2717660	2717969	+	end_in_gene	309
2720663	2725487	-	2725235	2725655	+	end_as_asRNA_for_next_TU	420
2727359	2728502	-	2727415	2727747	+	end_in_gene	332
2727359	2728502	-	2727927	2728196	+	end_in_gene	269
2728512	2731271	-	2728525	2728949	+	end_in_gene	424
2728512	2731271	-	2729867	2730315	+	end_in_gene	448
2728512	2731271	-	2730768	2731208	+	end_in_gene	440
2731281	2732759	-	2731976	2732363	+	end_in_gene	387
2734815	2736844	-	2735507	2735906	+	end_in_gene	399
2742204	2745236	-	2744427	2744733	+	end_in_gene	306
2776304	2784089	-	2779007	2779663	+	end_in_gene	656
2776304	2784089	-	2782384	2782813	+	end_in_gene	429
2784696	2792600	-	2784990	2785472	+	end_in_gene	482
2784696	2792600	-	2786274	2786790	+	end_in_gene	516
2784696	2792600	-	2789610	2790006	+	end_in_gene	396
2816998	2819925	-	2817008	2817315	+	end_in_gene	307
2816998	2819925	-	2819230	2819554	+	end_in_gene	324
2827949	2829813	-	2828030	2828631	+	end_in_gene	601
2833967	2835389	-	2834569	2835151	+	end_in_gene	582
2854927	2857835	-	2856117	2856594	+	end_in_gene	477
2857845	2859475	-	2857837	2858194	+	end_in_gene	357
2897023	2897835	-	2897032	2897446	+	end_in_gene	414
2902527	2903541	-	2902686	2903081	+	end_in_gene	395
2910944	2915783	-	2911269	2911764	+	end_in_gene	495
2910944	2915783	-	2912114	2912487	+	end_in_gene	373
2910944	2915783	-	2913416	2913690	+	end_in_gene	274
2931598	2934096	-	2933732	2934093	+	end_in_gene	361
2936808	2943315	-	2939681	2939968	+	end_in_gene	287
2950506	2953040	-	2951593	2951973	+	end_in_gene	380
2975917	2979330	-	2976164	2976453	+	end_in_gene	289
2975917	2979330	-	2978551	2979018	+	end_in_gene	467
2979340	2980859	-	2980043	2980724	+	end_as_asRNA_for_next_TU	681
2980869	2981586	-	2980921	2981250	+	end_in_gene	329
2992652	2995073	-	2993867	2994199	+	end_in_gene	332
3005781	3009219	-	3009095	3009881	+	end_as_asRNA_for_next_TU	786
3012642	3013890	-	3012677	3013041	+	end_in_gene	364
3037325	3039830	-	3037450	3037825	+	end_in_gene	375
3055511	3058128	-	3056029	3056483	+	end_in_gene	454
3059805	3062516	-	3061434	3061808	+	end_in_gene	374
3064548	3067134	-	3064900	3065425	+	end_in_gene	525
3078615	3079700	-	3079675	3080100	+	end_as_asRNA_for_next_TU	425
3080529	3082351	-	3081734	3082070	+	end_in_gene	336
3086203	3086722	-	3086365	3086716	+	end_coding_next_gene	351
3103366	3104924	-	3104521	3104888	+	end_as_asRNA_for_next_TU	367
3112309	3113104	-	3112822	3113104	+	end_coding_next_gene	282
3119363	3123700	-	3123628	3124409	+	end_as_asRNA_for_next_TU	781
3122842	3126489	-	3123894	3124374	+	end_in_gene	480
3122842	3126489	-	3126306	3126655	+	end_as_asRNA_for_next_TU	349
3126499	3133589	-	3131490	3131762	+	end_in_gene	272
3126499	3133589	-	3132545	3132884	+	end_in_gene	339
3133584	3135514	-	3134451	3134859	+	end_in_gene	408
3144765	3148330	-	3145018	3145419	+	end_in_gene	401
3148340	3150077	-	3148352	3148726	+	end_in_gene	374
3155891	3162101	-	3156448	3156808	+	end_in_gene	360
3169505	3171872	-	3169630	3169972	+	end_in_gene	342
3179394	3180521	-	3180077	3180449	+	end_in_gene	372
3194171	3196442	-	3196441	3196978	+	end_as_asRNA_for_next_TU	537
3196870	3200187	-	3199142	3199618	+	end_in_gene	476
3220062	3221692	-	3220218	3220584	+	end_in_gene	366
3223544	3226295	-	3223928	3224344	+	end_in_gene	416
3234159	3237821	-	3237770	3238094	+	end_as_asRNA_for_next_TU	324
3293683	3302584	-	3298801	3299390	+	end_in_gene	589
3293683	3302584	-	3301849	3302408	+	end_in_gene	559
3348733	3351081	-	3350266	3350812	+	end_in_gene	546
3359291	3363162	-	3359411	3359818	+	end_in_gene	407
3374640	3375674	-	3374648	3374963	+	end_in_gene	315
3376407	3385080	-	3382627	3382936	+	end_in_gene	309
3397212	3399424	-	3398817	3399265	+	end_as_asRNA_for_next_TU	448
3409439	3411180	-	3410264	3410833	+	end_in_gene	569
3421451	3423210	-	3421210	3421796	+	end_in_gene	586
3421451	3423210	-	3422323	3422699	+	end_in_gene	376
3441761	3446038	-	3442827	3443143	+	end_in_gene	316
3447285	3448431	-	3447436	3447865	+	end_in_gene	429
3460814	3461749	-	3461312	3461681	+	end_in_gene	369
3465693	3467659	-	3467409	3467909	+	end_as_asRNA_for_next_TU	500
3491789	3492119	-	3491798	3492119	+	end_coding_next_gene	321
3497556	3500785	-	3499072	3499433	+	end_in_gene	361
3533484	3535410	-	3533907	3534203	+	end_in_gene	296
3560116	3563214	-	3561621	3562283	+	end_in_gene	662
3581626	3582483	-	3581715	3582125	+	end_in_gene	410
3582493	3583758	-	3583539	3584008	+	end_as_asRNA_for_next_TU	469
3595971	3597831	-	3597805	3598268	+	end_as_asRNA_for_next_TU	463
3602447	3603319	-	3602658	3603015	+	end_in_gene	357
3608296	3609733	-	3608309	3608716	+	end_in_gene	407
3609743	3611186	-	3611131	3611549	+	end_as_asRNA_for_next_TU	418
3613610	3617553	-	3614219	3614639	+	end_in_gene	420
3617563	3620567	-	3618165	3618559	+	end_in_gene	394
3632030	3633581	-	3632882	3633278	+	end_in_gene	396
3644845	3646899	-	3645939	3646362	+	end_in_gene	423
3669956	3671791	-	3669959	3670294	+	end_in_gene	335
3671801	3672294	-	3672058	3672294	+	end_coding_next_gene	236
3686020	3689480	-	3688405	3688758	+	end_in_gene	353
3691801	3694160	-	3692044	3692522	+	end_in_gene	478
3700760	3701187	-	3700595	3700944	+	end_in_gene	349
3702625	3704070	-	3703084	3703855	+	end_in_gene	771
3721878	3723805	-	3722829	3723353	+	end_in_gene	524
3740490	3747503	-	3744923	3745323	+	end_in_gene	400
3747513	3753355	-	3748022	3748550	+	end_in_gene	528
3754437	3769170	-	3755940	3756417	+	end_in_gene	477
3754437	3769170	-	3760348	3760844	+	end_in_gene	496
3754437	3769170	-	3762231	3762678	+	end_in_gene	447
3754437	3769170	-	3765736	3766169	+	end_in_gene	433
3775538	3777803	-	3776152	3776526	+	end_in_gene	374
3775538	3777803	-	3777427	3777803	+	end_coding_next_gene	376
3781602	3784954	-	3783563	3783892	+	end_in_gene	329
3790999	3799021	-	3795603	3796113	+	end_in_gene	510
3790999	3799021	-	3797088	3797414	+	end_in_gene	326
3790999	3799021	-	3798409	3798719	+	end_in_gene	310
3799016	3800091	-	3799314	3799678	+	end_in_gene	364
3820592	3822187	-	3822006	3822465	+	end_as_asRNA_for_next_TU	459
3828952	3831733	-	3830045	3830356	+	end_in_gene	311
3837648	3839044	-	3838836	3839160	+	end_as_asRNA_for_next_TU	324
3843924	3847346	-	3846777	3847251	+	end_in_gene	474
3876279	3880983	-	3877612	3877980	+	end_in_gene	368
3876279	3880983	-	3878849	3879144	+	end_in_gene	295
3885106	3886459	-	3885338	3885725	+	end_in_gene	387
3892280	3893939	-	3892640	3893207	+	end_in_gene	567
3911933	3919407	-	3913769	3914122	+	end_in_gene	353
3911933	3919407	-	3914803	3915245	+	end_in_gene	442
3911933	3919407	-	3916298	3916744	+	end_in_gene	446
3911933	3919407	-	3918805	3919218	+	end_in_gene	413
3936899	3939439	-	3936899	3937253	+	end_in_gene	354
3954465	3955700	-	3954900	3955298	+	end_in_gene	398
3964344	3965403	-	3964306	3964687	+	end_in_gene	381
3965865	3969123	-	3965484	3965959	+	end_in_gene	475
3965865	3969123	-	3968328	3968691	+	end_as_asRNA_for_next_TU	363
3979687	3985645	-	3979827	3980172	+	end_in_gene	345
3979687	3985645	-	3981725	3982100	+	end_in_gene	375
3979687	3985645	-	3982777	3983121	+	end_in_gene	344
3994931	3997810	-	3995797	3996278	+	end_in_gene	481
3994931	3997810	-	3997442	3997921	+	end_as_asRNA_for_next_TU	479
4007555	4012478	-	4009855	4010182	+	end_in_gene	327
4021572	4025740	-	4022161	4022507	+	end_in_gene	346
4047685	4053113	-	4048759	4049088	+	end_in_gene	329
4047685	4053113	-	4052867	4053509	+	end_as_asRNA_for_next_TU	642
4063438	4064040	-	4063495	4063935	+	end_in_gene	440
4072855	4073790	-	4073225	4073635	+	end_coding_next_gene	410
4084645	4087558	-	4085363	4085928	+	end_in_gene	565
4100698	4107262	-	4100862	4101161	+	end_in_gene	299
4100698	4107262	-	4105817	4106127	+	end_in_gene	310
4150087	4153690	-	4152633	4153323	+	end_in_gene	690
4189476	4190932	-	4189992	4190503	+	end_in_gene	511
4190942	4193492	-	4191377	4191940	+	end_in_gene	563
4190942	4193492	-	4193038	4193501	+	end_in_gene	463
4202076	4205551	-	4204419	4205052	+	end_in_gene	633
4206028	4207095	-	4206481	4206848	+	end_in_gene	367
4232581	4234714	-	4233420	4233844	+	end_in_gene	424
4263416	4264630	-	4263550	4263953	+	end_in_gene	403
4269105	4273645	-	4271713	4272133	+	end_in_gene	420
4269105	4273645	-	4272682	4273028	+	end_in_gene	346
4278273	4281749	-	4281513	4282036	+	end_as_asRNA_for_next_TU	523
4288213	4299793	-	4289000	4289414	+	end_in_gene	414
4288213	4299793	-	4290738	4291279	+	end_in_gene	541
4288213	4299793	-	4291493	4291823	+	end_in_gene	330
4288213	4299793	-	4293727	4294104	+	end_in_gene	377
4288213	4299793	-	4295950	4296219	+	end_in_gene	269
4301754	4303546	-	4302206	4302545	+	end_in_gene	339
4303556	4305863	-	4304404	4304707	+	end_in_gene	303
4330145	4336446	-	4335254	4335610	+	end_in_gene	356
4362139	4365012	-	4362157	4362429	+	end_in_gene	272
4362139	4365012	-	4363534	4363930	+	end_in_gene	396
4362139	4365012	-	4364821	4365399	+	end_as_asRNA_for_next_TU	578
4365007	4372884	-	4365471	4365960	+	end_in_gene	489
4365007	4372884	-	4369915	4370472	+	end_in_gene	557
4372894	4374602	-	4373099	4373477	+	end_in_gene	378
4376202	4383107	-	4377853	4378308	+	end_in_gene	455
4383117	4384236	-	4384105	4384710	+	end_as_asRNA_for_next_TU	605
4384246	4385850	-	4384306	4384654	+	end_in_gene	348
4385860	4387473	-	4386581	4386992	+	end_in_gene	411
4404599	4405416	-	4404750	4405039	+	end_in_gene	289
19042	23370	-	19402	20146	+	end_in_gene	744
23380	25515	-	23868	24273	+	end_in_gene	405
38957	39867	-	39302	39655	+	end_in_gene	353
72229	74565	-	72955	73597	+	end_in_gene	642
85175	85560	-	85187	85579	+	end_in_gene	392
188872	190437	-	190137	190437	+	end_coding_next_gene	300
209680	210815	-	210069	210431	+	end_in_gene	362
212280	214138	-	214085	214720	+	end_as_asRNA_for_next_TU	635
279572	287108	-	280997	281517	+	end_in_gene	520
386292	387073	-	386304	386653	+	end_in_gene	349
424029	434763	-	424168	424802	+	end_in_gene	634
424029	434763	-	424645	425064	+	end_in_gene	419
424029	434763	-	431507	431869	+	end_in_gene	362
480173	483785	-	481066	481505	+	end_in_gene	439
480173	483785	-	481627	482130	+	end_in_gene	503
480173	483785	-	483280	483693	+	end_in_gene	413
526099	527363	-	526145	526524	+	end_in_gene	379
538563	542018	-	541226	541783	+	end_in_gene	557
545839	548248	-	546346	546931	+	end_in_gene	585
593880	594782	-	594237	594690	+	end_in_gene	453
594792	595456	-	594981	595291	+	end_in_gene	310
655966	658075	-	656458	656970	+	end_in_gene	512
681875	684275	-	681873	682456	+	end_in_gene	583
720027	729281	-	726869	727209	+	end_in_gene	340
752677	753646	-	753643	754007	+	end_as_asRNA_for_next_TU	364
842346	846002	-	844434	844771	+	end_in_gene	337
847926	850076	-	848114	848603	+	end_in_gene	489
850518	850851	-	850667	851151	+	end_as_asRNA_for_next_TU	484
855908	860713	-	856191	856457	+	end_in_gene	266
876668	878431	-	877226	877731	+	end_in_gene	505
891495	893270	-	891917	892348	+	end_in_gene	431
891495	893270	-	892740	893169	+	end_in_gene	429
907305	908120	-	907459	907746	+	end_in_gene	287
909594	910845	-	910035	910511	+	end_in_gene	476
942480	944292	-	943772	944185	+	end_in_gene	413
953743	954927	-	954528	954856	+	end_in_gene	328
1120893	1123602	-	1121742	1122063	+	end_in_gene	321
1120893	1123602	-	1123595	1124112	+	end_as_asRNA_for_next_TU	517
1133270	1134705	-	1133463	1133785	+	end_in_gene	322
1136527	1138159	-	1136877	1137483	+	end_in_gene	606
1156436	1158742	-	1157052	1157384	+	end_in_gene	332
1160448	1164841	-	1161553	1162301	+	end_in_gene	748
1160448	1164841	-	1163941	1164494	+	end_in_gene	553
1165680	1166915	-	1165728	1166294	+	end_in_gene	566
1229399	1231296	-	1230785	1231301	+	end_as_asRNA_for_next_TU	516
1275965	1279622	-	1278560	1278784	+	end_in_gene	224
1280035	1281489	-	1281434	1281956	+	end_as_asRNA_for_next_TU	522
1306073	1308797	-	1306787	1307217	+	end_in_gene	430
1390161	1393148	-	1392021	1392706	+	end_in_gene	685
1417415	1419782	-	1417534	1418078	+	end_in_gene	544
1433546	1437143	-	1436556	1436780	+	end_in_gene	224
1443415	1445053	-	1444396	1444778	+	end_in_gene	382
1445388	1446298	-	1445409	1445881	+	end_in_gene	472
1468147	1469908	-	1468141	1468635	+	end_in_gene	494
1490426	1494482	-	1492693	1493229	+	end_in_gene	536
1519150	1526222	-	1519887	1520476	+	end_in_gene	589
1519150	1526222	-	1521424	1521903	+	end_in_gene	479
1519150	1526222	-	1521843	1522077	+	end_in_gene	234
1519150	1526222	-	1525642	1526044	+	end_in_gene	402
1547008	1547536	-	1547134	1547505	+	end_in_gene	371
